 	il	est	venu	l'	an	passé	</S>
w	0.857723	0.121145	0.0081462	0.00878715	0.00368819	0.000343912	0.000166616
a	0.900632	0.0863613	0.00170948	0.00640998	0.00390374	0.000861933	0.000121442
á	0.116009	0.411641	0.395986	0.0588482	0.00753369	0.00419299	0.00578868
y	0.00859522	0.113741	0.834941	0.0137828	0.0097523	0.0106556	0.00853194
a	0.0106553	0.0435528	0.827931	0.0370772	0.00165591	0.0268275	0.0523002
á	0.0624371	0.195901	0.538134	0.119277	0.00363235	0.0291031	0.0515154
o	0.113713	0.198633	0.198837	0.372411	0.0587876	0.0212496	0.0363697
b	0.00219652	0.0151416	0.0760124	0.193969	0.545172	0.14317	0.0243374
v	0.0105254	0.0308273	0.0308651	0.136311	0.511306	0.211308	0.0688571
ú	0.00276848	0.0216021	0.00919168	0.0849022	0.800834	0.044231	0.0364705
m	0.0287263	0.0354246	0.0126212	0.311382	0.349442	0.0791731	0.183231
ó	0.0852002	0.0282593	0.00272569	0.328218	0.341368	0.0352314	0.178997
ó	0.015066	0.0246266	0.0252811	0.159417	0.146097	0.447559	0.181953
l	0.00166605	0.00998354	0.0175743	0.0381535	0.0838015	0.781037	0.0677839
e	0.000794333	0.00690673	0.0133184	0.0132303	0.00872257	0.791393	0.165635
í	0.000102159	0.00136465	0.00402452	0.0214374	0.0120787	0.763319	0.197673
</S>	0.00911674	0.0117966	0.0170169	0.0869572	0.0613148	0.323331	0.490467
