 	les	urines	de	la	femme	sortent	du	vagin	</S>
a	0.792279	0.163791	0.0249379	0.0158429	0.000945332	0.00147807	0.000680222	9.49177e-06	3.57782e-05
n	0.116136	0.839518	0.0214524	0.00637148	0.0134388	0.00089738	0.00120281	0.000655723	0.000327362
d	0.0201184	0.924415	0.0275561	0.0152549	0.00618172	0.00216401	0.000940218	0.000659183	0.00271036
z	0.0150637	0.961509	0.00664431	0.00499579	0.00710997	0.000728631	0.000277438	0.00202953	0.00164178
í	0.00713751	0.960358	0.013215	0.00343623	0.00722354	0.000717769	0.000339613	0.00626668	0.00130588
n	0.0288587	0.771687	0.112797	0.0558642	0.0010881	0.00171089	0.00126115	0.00450014	0.0222325
y	0.0380025	0.430795	0.242953	0.0357511	0.0156248	0.0224574	0.0142797	0.0119288	0.188208
ε	0.011946	0.239089	0.276944	0.0440323	0.00336575	0.014727	0.0174682	0.0416295	0.350798
m	0.0373414	0.0472524	0.469818	0.332396	0.0167699	0.0458837	0.0190566	0.000371981	0.0311102
ó	0.131502	0.0402274	0.138954	0.370994	0.0500077	0.140057	0.0680232	0.000524158	0.0597109
y	0.0574683	0.0347506	0.174609	0.394158	0.129432	0.0910107	0.0471519	0.00185848	0.0695614
ú	0.019152	0.0349343	0.19521	0.595351	0.067486	0.0524387	0.0191526	0.00646427	0.00981075
r	0.0213478	0.0175692	0.178667	0.530829	0.0205727	0.0785173	0.0567886	0.0136744	0.0820344
u	0.0189313	0.173944	0.243302	0.37069	0.023543	0.102043	0.0284952	0.00985481	0.0291975
m	0.0125665	0.0124179	0.190434	0.301122	0.0185725	0.359294	0.0891694	0.000707527	0.015716
á	0.0538589	0.0254104	0.162823	0.153562	0.129974	0.307543	0.114455	0.00229495	0.0500792
a	0.00878927	0.00889266	0.0845909	0.171547	0.054057	0.293784	0.293284	0.0122056	0.0728495
w	0.0102198	0.0114517	0.0339606	0.0563829	0.0178485	0.416323	0.381596	0.017597	0.0546201
ú	0.00195894	0.00871154	0.0724319	0.0436294	0.00565632	0.514642	0.295796	0.0077418	0.049432
r	0.00111087	0.00283922	0.0345666	0.0777813	0.00244159	0.259624	0.485731	0.027211	0.108695
á	0.00282789	0.0160439	0.0602578	0.0827532	0.00187927	0.513955	0.187792	0.0508574	0.0836339
s	0.00209025	0.00120183	0.0239604	0.189898	0.00794068	0.358595	0.311055	0.0525198	0.0527398
é	0.00169375	0.0068004	0.0179188	0.0326415	0.000390794	0.0470466	0.125715	0.638314	0.129479
k	0.00112417	0.000955634	0.00859787	0.0645196	0.00173359	0.0449267	0.119122	0.61041	0.14861
y	0.000737126	0.000868111	0.0080994	0.00823598	5.15726e-05	0.012589	0.0901504	0.751993	0.127275
e	2.88418e-05	8.37088e-05	0.000595914	0.000428603	1.41976e-05	0.00710761	0.0305897	0.910474	0.0506779
l	2.38357e-05	0.000398545	0.0017714	0.000951942	5.5071e-05	0.0625764	0.0901669	0.632846	0.21121
e	2.32775e-05	0.00058928	0.00113172	0.000240269	1.00906e-05	0.0100933	0.0259162	0.734149	0.227847
</S>	0.000696705	0.00349804	0.00913136	0.00518293	0.000154972	0.0976542	0.12663	0.106669	0.650382
