 	lekyéri	est	un	légume	au	goût	acide	</S>
l	0.211313	0.273625	0.148707	0.147467	0.121479	0.0905543	0.00653509	0.000320583
e	0.0442508	0.137954	0.175947	0.214033	0.123743	0.244158	0.0404388	0.0194749
k	0.43084	0.0717407	0.137548	0.21608	0.0387517	0.0327342	0.0406246	0.0316809
y	0.539151	0.0545526	0.0936733	0.17499	0.0202857	0.0242419	0.0612121	0.0318933
έ	0.747275	0.0424494	0.065749	0.109262	0.00829014	0.00659074	0.00711096	0.0132728
r	0.198294	0.0744346	0.148654	0.310525	0.0726852	0.0404554	0.0216396	0.133312
í	0.238132	0.0425131	0.103698	0.210279	0.0832617	0.0683778	0.0149679	0.23877
í	0.0103976	0.0452101	0.270611	0.173372	0.347104	0.0695632	0.00571328	0.0780283
d	0.00879202	0.0560106	0.31006	0.2098	0.200541	0.0575976	0.0102394	0.14696
í	0.000160659	0.00121341	0.0479237	0.0345508	0.0399384	0.013093	0.00928991	0.85383
l	0.00401515	0.0086539	0.14572	0.115524	0.14788	0.0738516	0.0740105	0.430345
a	0.00453814	0.00510183	0.0392442	0.0500048	0.0828576	0.0769046	0.0643717	0.676977
n	0.00575491	0.005218	0.0826283	0.0694554	0.0839853	0.155746	0.370851	0.226362
g	0.000251528	0.000402015	0.00702706	0.0173977	0.0173858	0.0462911	0.848752	0.0624932
a	0.000286892	0.000830273	0.00787779	0.0197574	0.01837	0.110166	0.764434	0.0782777
n	0.00037195	0.000153188	0.0111212	0.0321209	0.0360963	0.0682677	0.548633	0.303236
y	0.00261153	0.00128078	0.021357	0.0475726	0.0530608	0.129769	0.300668	0.44368
i	0.000271718	0.000178381	0.0048483	0.0315033	0.023891	0.0920337	0.608528	0.238746
</S>	0.000811549	0.0023756	0.0183128	0.0210111	0.0767918	0.0502788	0.0755811	0.754837
