 	qui	est-ce	qui	m'	a	piétiné	</S>
y	0.489596	0.294351	0.186657	0.0107683	0.0154571	0.00217286	0.000997925
e	0.0574918	0.25315	0.052512	0.127801	0.159284	0.286101	0.0636603
é	0.187598	0.242868	0.332187	0.0289052	0.143569	0.0619813	0.00289277
d	0.0417821	0.127824	0.0810274	0.130576	0.240328	0.305981	0.0724819
z	0.00605037	0.05042	0.0148479	0.0305194	0.245559	0.0628175	0.589786
a	0.0373022	0.0546783	0.108069	0.0961237	0.17794	0.415159	0.110728
r	0.00718865	0.02518	0.115396	0.283848	0.213857	0.0885175	0.266013
í	0.0129888	0.0414304	0.121222	0.302895	0.192217	0.292717	0.0365293
n	0.0114519	0.0137502	0.139379	0.457253	0.173407	0.0694316	0.135327
g	0.00721177	0.0116251	0.160618	0.600379	0.0328443	0.101593	0.0857296
á	0.0208841	0.0426316	0.229176	0.463521	0.0424896	0.134063	0.0672342
w	0.0518894	0.0326411	0.163552	0.0553028	0.186953	0.119216	0.390446
ú	0.0682463	0.090512	0.330012	0.110403	0.178852	0.0725852	0.14939
u	0.0964048	0.0669519	0.0444844	0.00913181	0.037735	0.0732442	0.672048
n	0.0415765	0.0327252	0.0428389	0.0168309	0.024786	0.0411119	0.800131
d	0.0167205	0.0257688	0.0490487	0.114514	0.0519343	0.0190064	0.723008
a	0.00367277	0.0136354	0.035018	0.305229	0.0458708	0.18853	0.408044
</S>	0.00293187	0.00619208	0.0313819	0.0903882	0.0680841	0.060197	0.740825
