 	j'	ai	abattu	l'	arbre	yanza	dans	la	forêt	</S>
n	0.84179	0.0528321	0.00897041	0.0102503	0.0169542	0.0411276	0.0112066	0.0148261	0.00154365	0.000498935
g	0.949757	0.0215406	0.000839297	0.00459079	0.0166118	0.0047896	0.000874588	0.000944582	3.63389e-05	1.52859e-05
á	0.656195	0.305977	0.0163332	0.0120285	0.00471001	0.00323959	0.000249502	0.00114809	3.57956e-05	8.33768e-05
í	0.135244	0.500306	0.0918289	0.0982451	0.0574023	0.000788065	0.0100116	0.0352019	0.0019955	0.0689766
k	0.00761905	0.0976822	0.8465	0.0396849	0.00212265	6.87285e-05	0.00104531	0.00164479	0.000666894	0.00296513
w	0.00246344	0.0451964	0.909877	0.0319173	0.00170372	0.000301441	0.000734877	0.00126473	0.00200268	0.0045387
e	0.0396848	0.0668515	0.712801	0.131665	0.0257563	0.00389669	0.0059442	0.00406511	0.00647305	0.00286244
r	0.00364912	0.0205354	0.179345	0.320635	0.193575	0.128529	0.0871586	0.0273097	0.0169548	0.0223082
i	0.00149225	0.0141822	0.147363	0.18859	0.262843	0.309871	0.0466801	0.0105455	0.000382019	0.0180505
y	0.00471108	0.0391424	0.00892174	0.0859483	0.586631	0.0776665	0.16176	0.0310282	0.0015672	0.00262333
a	0.00142906	0.00818573	0.0179388	0.0917562	0.197934	0.554796	0.0520855	0.0177552	0.000999893	0.0571194
n	0.000261396	0.00285939	0.00334049	0.0839889	0.459848	0.321214	0.0745043	0.0163144	0.000626138	0.0370428
d	0.00237649	0.0191663	0.00244025	0.0532248	0.242375	0.523259	0.0878372	0.0397858	0.000702416	0.0288325
z	5.61673e-05	0.000212946	0.000164064	0.00350855	0.023894	0.949505	0.00715253	0.00386193	0.000226346	0.0114182
a	2.32286e-05	0.000106234	0.000253606	0.00411628	0.0316825	0.937944	0.0106146	0.00294998	0.000148582	0.012161
s	0.000106684	0.000781017	0.000419346	0.0227349	0.105023	0.0643953	0.539832	0.164874	0.00577798	0.0960568
á	0.000672039	0.00171623	0.00140665	0.0182848	0.112121	0.133128	0.123564	0.104047	0.0136238	0.491436
k	0.000901113	0.0011422	0.000686683	0.00384285	0.0212398	0.0541441	0.0804644	0.213761	0.553925	0.0698923
ώ	4.12531e-05	2.11306e-05	5.90303e-05	0.000334886	0.00165216	0.00298603	0.00282193	0.00664354	0.97925	0.00619018
</S>	6.07047e-05	7.47675e-05	0.000223823	0.000511292	0.00145921	0.000978356	0.00592103	0.0242176	0.943614	0.0229393
