 	montre-moi	ta	blessure	</S>
m	0.932918	0.0485857	0.0178618	0.000634837
ó	0.176916	0.149569	0.0438603	0.629655
s	0.78475	0.0306541	0.144108	0.0404884
ω	0.800032	0.0624873	0.0519978	0.0854833
n	0.662913	0.164474	0.102218	0.0703946
g	0.526329	0.353004	0.0457678	0.074899
ώ	0.600606	0.321151	0.0083234	0.06992
s	0.13192	0.507562	0.257759	0.10276
ώ	0.13609	0.417757	0.10415	0.342002
n	0.0252059	0.692096	0.226286	0.056412
g	0.0110357	0.984512	0.00160829	0.00284408
á	0.0146139	0.941882	0.00822258	0.0352818
p	0.0176915	0.313727	0.449528	0.219053
ó	0.0143366	0.0342061	0.853676	0.0977818
r	0.0064522	0.0340965	0.679062	0.28039
á	0.0611727	0.101607	0.390324	0.446897
y	0.0322222	0.276044	0.202117	0.489617
á	0.171247	0.215869	0.063701	0.549183
n	0.0956363	0.277237	0.291473	0.335654
ω	0.0319811	0.678917	0.010274	0.278828
y	0.0150085	0.116209	0.0433042	0.825478
é	0.198292	0.0470229	0.140696	0.613989
</S>	0.0849798	0.10755	0.0860224	0.721448
