 	ma	peau	s'	est	irritée	</S>
n	0.482896	0.467563	0.0418797	0.00500105	0.000234459	0.00242599
g	0.992567	0.00633151	0.000492956	0.000432667	0.000100835	7.54374e-05
á	0.952332	0.03178	0.00452435	0.00277604	0.00771707	0.000870682
n	0.62327	0.207357	0.0560314	0.0527937	0.01512	0.0454282
d	0.562222	0.0588225	0.0181284	0.00825439	0.00424947	0.348323
z	0.237973	0.145544	0.104026	0.123084	0.135723	0.25365
ó	0.360774	0.137638	0.0228261	0.0375549	0.33281	0.108396
r	0.154466	0.48534	0.0995812	0.0682381	0.0212549	0.17112
o	0.0670951	0.284496	0.192264	0.0402036	0.0812544	0.334688
é	0.0209504	0.153489	0.5083	0.0831659	0.158175	0.0759201
m	0.0051103	0.0236943	0.339168	0.122214	0.253171	0.256642
i	0.00196506	0.00123838	0.128649	0.166784	0.172135	0.529229
s	0.000114161	0.0018317	0.0805674	0.0326667	0.330633	0.554187
u	0.000101589	0.00124138	0.0172473	0.0267901	0.830594	0.124025
l	0.00280924	0.00113985	0.0242334	0.101754	0.137767	0.732297
a	0.00302605	0.00457805	0.0773621	0.208647	0.0377369	0.66865
</S>	0.00225364	0.00101896	0.0447525	0.178348	0.00626172	0.767365
