 	ikami	est	un	fuirt	avec	plusieurs	dés	</S>
i	0.870086	0.113066	0.01106	0.000530397	0.00269527	0.00229077	0.000149617	0.000122215
k	0.924762	0.0620457	0.00281188	0.00883591	0.000196578	0.00015883	0.000225157	0.000964083
a	0.891016	0.0712974	0.00398053	0.0301676	0.000637771	9.71444e-05	0.000836355	0.0019676
m	0.801757	0.123615	0.0107591	0.0504934	0.00186606	0.000459366	0.00191719	0.00913299
i	0.724622	0.205402	0.0367986	0.00747193	0.0151862	0.0010733	0.00019181	0.00925427
í	0.136218	0.352243	0.347715	0.0104846	0.0253554	0.00326795	0.00228001	0.122436
d	0.0388257	0.294521	0.452596	0.0619245	0.00792341	0.00589941	0.00352329	0.134787
í	0.0141154	0.155943	0.280318	0.108266	0.0132021	0.00563432	0.00547262	0.417048
e	0.0103686	0.0810866	0.258134	0.32124	0.0299605	0.0351611	0.0110373	0.253011
b	0.00627872	0.0466949	0.227214	0.521916	0.0656818	0.0168282	0.0339676	0.0814187
v	0.0128805	0.0658679	0.152501	0.634816	0.0480435	0.00646493	0.0133683	0.0660583
u	0.0189828	0.0898262	0.208736	0.487962	0.147992	0.0132838	0.00916282	0.0240545
m	0.000685663	0.0187491	0.0976236	0.408847	0.110609	0.0112511	0.0073282	0.344906
á	0.0028078	0.0214484	0.124753	0.0329282	0.572158	0.0633868	0.0978687	0.0846494
l	0.0010007	0.00814396	0.0618821	0.0142748	0.306652	0.214968	0.320749	0.0723292
a	0.00208855	0.00771227	0.0328299	0.00820288	0.172567	0.192537	0.36059	0.223473
m	0.000906612	0.00139094	0.00998512	0.00135488	0.173941	0.214027	0.562154	0.0362404
í	0.00282541	0.00301397	0.0139535	0.00397435	0.0973387	0.119472	0.452246	0.307176
s	0.00663317	0.00675676	0.0283304	0.00599993	0.170792	0.0850548	0.529153	0.16728
i	0.000264429	0.00220436	0.00999697	0.00620304	0.0780936	0.117622	0.409366	0.376249
a	0.000213091	0.00109803	0.00666063	0.00207312	0.0814806	0.225822	0.155635	0.527018
y	0.00509655	0.0158563	0.0439479	0.011197	0.0640589	0.248866	0.315262	0.295716
í	0.000691731	0.00563372	0.0354647	0.00313491	0.0326955	0.341891	0.174245	0.406244
í	0.00107888	0.00105073	0.00737285	0.00245268	0.0252683	0.0816248	0.215347	0.665805
</S>	0.000311602	0.00160483	0.00899247	0.0025441	0.0620512	0.160805	0.309907	0.453784
