 	la	pâte	du	sésame	cuite	à	l'	étouffée	est	un	mets	succulent	</S>
e	0.546636	0.348918	0.0688196	0.0257642	0.00362566	0.00223631	0.00104151	9.64726e-05	0.000219286	0.000558952	0.00197534	6.72285e-05	4.19284e-05
p	0.0289594	0.896096	0.015344	0.0519704	0.00424106	0.000493642	0.000174903	2.17943e-05	0.000238999	0.000785453	0.00068806	0.000377467	0.000608992
ώ	0.00547198	0.509385	0.00979407	0.446737	0.0209498	0.00106102	0.000340805	7.39424e-05	0.000252691	0.00121485	0.0021693	0.00136181	0.00118756
ω	0.00802747	0.900286	0.0227847	0.050634	0.00498255	0.00205985	0.000685567	0.00044899	0.0003323	0.000908817	0.00395697	0.00210478	0.00278769
y	0.265896	0.0679628	0.537658	0.0852118	0.0082138	0.00860877	0.00394995	0.00227592	0.00495329	0.00163136	0.00180045	0.00320257	0.00863467
ó	0.190678	0.0535381	0.392407	0.144366	0.0247493	0.0282756	0.0466308	0.00116291	0.0202167	0.0101772	0.00421376	0.0152619	0.0683229
p	0.174882	0.0195999	0.304655	0.28517	0.0971355	0.0262182	0.0388852	0.000834901	0.00929439	0.00703368	0.00517844	0.00594047	0.0251718
f	0.0156754	0.0363341	0.0256221	0.725873	0.154327	0.00697802	0.00173951	0.00120592	0.00247905	0.00417595	0.00792325	0.00756899	0.0100979
u	0.00591036	0.00282421	0.0265637	0.75694	0.183842	0.0140105	0.00139829	0.000842327	0.00118516	0.00138433	0.00143252	0.0019314	0.00173555
n	0.0107489	0.00506042	0.0295099	0.877783	0.0316094	0.00737859	0.00132296	0.000443711	0.00134303	0.00522065	0.00595317	0.00893142	0.0146952
y	0.019494	0.00787305	0.0745237	0.744162	0.0339048	0.0154415	0.00782905	0.000454271	0.00663085	0.0130559	0.00490716	0.013487	0.0582371
ε	0.00819606	0.00952611	0.0501857	0.721417	0.0533875	0.0120143	0.00368993	0.000981195	0.00711641	0.01099	0.0147421	0.0223145	0.0854393
w	0.0147729	0.00563314	0.318292	0.1282	0.126839	0.19541	0.0778857	0.0334113	0.0345227	0.0121701	0.00689583	0.0111816	0.0347865
á	0.0298931	0.0207758	0.332266	0.116757	0.180917	0.110189	0.0729055	0.0063396	0.0398144	0.0193696	0.0150236	0.0137068	0.0420415
á	0.023449	0.00223779	0.100058	0.0218307	0.150217	0.334841	0.156246	0.0392764	0.0525989	0.0253837	0.0201336	0.0126408	0.0610865
á	0.00869076	0.00327994	0.0421764	0.0115675	0.0650586	0.354638	0.209201	0.0791908	0.119777	0.0407691	0.0275275	0.0144179	0.0237051
t	0.0101672	0.00649951	0.024554	0.0236129	0.0538549	0.143895	0.0678715	0.172446	0.209702	0.104574	0.0551343	0.0494417	0.078248
u	0.000515094	0.00195158	0.00723906	0.0400115	0.0783993	0.166076	0.037276	0.161236	0.179501	0.144101	0.0739974	0.0572242	0.0524708
m	0.00714574	0.000935663	0.0225441	0.103964	0.0937612	0.19524	0.105251	0.0572304	0.116053	0.125038	0.0502165	0.0267061	0.095915
b	0.000564481	0.000114435	0.00407253	0.0188488	0.0298603	0.291752	0.291445	0.0093427	0.138383	0.138176	0.0253402	0.0394591	0.0126414
u	0.00131191	0.000147531	0.0111134	0.0461098	0.00730525	0.157947	0.325247	0.0173857	0.104965	0.147965	0.0933922	0.0566116	0.0304998
é	0.000144376	7.11338e-05	0.00308786	0.00311647	0.00492589	0.202424	0.274597	0.0310134	0.225478	0.138879	0.0746694	0.022189	0.0194047
d	0.00115201	0.000229962	0.00276726	0.00323368	0.00683135	0.04648	0.0496741	0.0391588	0.27355	0.289555	0.123746	0.131494	0.0321284
í	0.000364927	6.00404e-05	0.000741137	0.000290805	0.00173295	0.0503482	0.039929	0.00217569	0.152238	0.213672	0.00915	0.230234	0.299064
o	0.000887341	2.58901e-05	0.0022231	0.00112503	0.00101538	0.0323951	0.0518375	0.00458015	0.13658	0.232076	0.189985	0.202878	0.144392
d	0.000237687	0.000111225	0.000879402	0.00243225	0.00120541	0.0039832	0.00489133	0.00851332	0.0315067	0.185599	0.290922	0.345787	0.123931
z	0.000332394	0.000374509	0.00231014	0.00286434	0.00182702	0.0102429	0.00911482	0.000314502	0.0400799	0.196148	0.0417898	0.515774	0.178828
é	0.000250266	0.000473482	0.00166805	0.00569503	0.00505512	0.0298217	0.0283283	0.000360862	0.102021	0.271236	0.0616757	0.375371	0.118044
é	0.000365622	3.82302e-05	0.000888078	0.000804989	0.000394666	0.00991008	0.0220239	0.000792133	0.0697817	0.201078	0.0788598	0.232769	0.382294
l	0.000601505	3.44315e-05	0.00431571	0.000714371	0.000663047	0.00635166	0.0098276	0.00218933	0.0261904	0.0806086	0.0453007	0.319694	0.503508
í	0.00153675	0.00044433	0.00185019	0.00389936	0.00235801	0.00934582	0.00259184	0.00991387	0.0251099	0.127502	0.230657	0.415738	0.169053
o	0.00081321	0.000154752	0.000780571	0.000421303	0.000698249	0.00225727	0.00186466	0.00593733	0.0128083	0.0608048	0.086642	0.412356	0.414462
b	0.000473578	4.29715e-05	0.00132708	0.000753907	0.000612354	0.00664153	0.00569091	0.00328462	0.0331315	0.0900768	0.0540784	0.337348	0.466539
v	0.00100799	0.00065131	0.00736236	0.00151724	0.00201251	0.0205148	0.00317575	0.014825	0.0381117	0.123181	0.248885	0.330713	0.208042
