 	l'	eau	du	fleuve	est	basse	</S>
n	0.642083	0.322028	0.0283202	0.00687244	0.000663036	2.04296e-05	1.30663e-05
z	0.909578	0.0787267	0.00835075	0.00331179	1.27413e-05	6.31969e-06	1.36548e-05
á	0.34367	0.411235	0.170405	0.0731795	0.000344098	0.000377229	0.000789439
l	0.402003	0.095566	0.317936	0.0719525	0.00254957	0.00437649	0.105617
é	0.410961	0.0862862	0.353149	0.114072	0.00618075	0.00072099	0.0286303
é	0.17522	0.0860295	0.403028	0.167619	0.12748	0.0140585	0.0265655
m	0.0182982	0.00716995	0.336676	0.234347	0.349108	0.0418617	0.0125386
i	0.00934245	0.0335761	0.0587807	0.119513	0.625209	0.121199	0.0323794
w	0.00127071	0.00220956	0.0325743	0.0392111	0.313908	0.588124	0.022702
ó	0.00065693	0.00232194	0.135396	0.0161214	0.187113	0.558267	0.100123
m	0.00133385	0.000337638	0.104188	0.0116984	0.286093	0.367626	0.228723
a	0.0784004	0.0192759	0.0345569	0.0496631	0.144204	0.371509	0.30239
</S>	0.00763062	0.00346354	0.060846	0.0389355	0.188678	0.0474931	0.652953
