 	appelle	ta	femme	qu'	elle	vienne	ramasser	les	vomissures	de	votre	enfant	</S>
b	0.431411	0.46746	0.0507651	0.0196006	0.0143935	0.00374323	0.000177821	0.000646904	0.00333285	0.00341483	0.0047628	3.95776e-05	0.000250874
é	0.236199	0.149874	0.600629	0.00292615	0.00122214	0.00101158	2.3077e-05	0.000238971	0.000240119	0.000183193	0.00608763	0.00131648	4.85761e-05
á	0.129247	0.302329	0.0995742	0.244742	0.180531	0.00252835	0.0013978	0.00501481	0.00181213	0.00237736	0.0137242	0.0102241	0.00649814
m	0.0780185	0.267609	0.401767	0.1016	0.0576726	0.0176907	0.0026839	0.00825434	0.00419114	0.00418783	0.00284006	0.000724995	0.0527596
w	0.0125233	0.0070378	0.770662	0.118592	0.0630606	0.00487069	0.00096075	0.00535755	0.000527626	0.000383993	0.000494879	0.0111539	0.00437521
á	0.0422898	0.0297082	0.632504	0.20846	0.0520629	0.00955602	0.00157721	0.00738628	0.0021926	0.0013842	0.000391379	0.0105143	0.00197338
s	0.137361	0.0996975	0.136486	0.380087	0.0670733	0.000590554	0.000743944	0.0127201	0.0059837	0.00731717	0.0127527	0.0717208	0.067466
í	0.141001	0.160671	0.204322	0.185332	0.0201165	0.00550565	0.000955119	0.00777433	0.00307998	0.00762257	0.0404364	0.127807	0.095377
á	0.0494241	0.11378	0.0502775	0.599156	0.103582	0.0490017	0.00422317	0.00500496	0.00376526	0.00533749	0.00529552	0.0006347	0.0105174
y	0.00150691	0.00129509	0.00227431	0.0186349	0.0291149	0.898011	0.0348718	0.00320009	0.00420274	0.00137532	0.000225741	9.68434e-05	0.00519013
a	0.00041582	0.00041712	0.00201344	0.00776389	0.00781749	0.959968	0.0163487	0.00138492	0.00117649	0.000477414	8.01882e-05	5.82732e-05	0.002078
a	0.0142432	0.00480784	0.00667718	0.0399623	0.0463104	0.568848	0.212445	0.0266191	0.0304414	0.0176499	0.0010798	0.00110472	0.0298112
o	0.000970104	0.00193372	0.000581345	0.124033	0.442832	0.304755	0.0351713	0.0298079	0.0288969	0.00809629	0.0101252	0.000581642	0.0122157
t	0.000841151	9.39246e-05	0.00069509	0.00358916	0.0198473	0.174689	0.741234	0.0380303	0.0135211	0.00411441	4.10143e-05	0.000154944	0.00314871
ó	0.000328377	5.53778e-05	0.000184948	0.00626867	0.0232361	0.0469701	0.825613	0.0374632	0.0184033	0.0119245	7.11253e-05	3.55814e-05	0.0294465
r	0.000420053	0.000161822	5.67044e-05	0.0157879	0.0231075	0.0790403	0.800723	0.0250411	0.011511	0.0128637	0.000400891	2.70395e-05	0.0308591
á	0.0168655	0.00542779	0.00023905	0.0501193	0.177907	0.0161962	0.453479	0.0986502	0.0384668	0.0451049	0.0088403	0.000316597	0.0883877
i	0.00242523	0.00248284	0.000361354	0.0301545	0.0856621	0.00522554	0.0328319	0.296075	0.289359	0.108688	0.086128	0.0444465	0.01616
l	0.00559513	0.000365839	0.000495552	0.00161419	0.00763804	0.0013971	0.154143	0.243841	0.309207	0.196003	0.0086079	0.0228012	0.0482917
ú	0.0016033	0.000133359	9.89407e-05	0.0010838	0.00294165	0.00289094	0.0540845	0.24091	0.421295	0.225367	0.0122237	0.0027061	0.0346627
á	0.00189755	0.000207456	7.10949e-05	0.000674676	0.00146573	0.00430798	0.0930629	0.214802	0.450631	0.216311	0.00145852	0.00302124	0.0120887
b	0.000380664	8.77189e-05	6.53187e-05	0.00219775	0.00649789	0.00339678	0.0109948	0.240297	0.330548	0.21861	0.112165	0.0138174	0.0609417
á	0.0281173	0.00763937	6.88386e-05	0.00132762	0.00477709	0.00107393	0.00336448	0.0300692	0.155483	0.298701	0.286477	0.0402628	0.142638
m	0.00861083	0.00869218	0.000115497	0.00859747	0.0258122	0.000237661	0.000232509	0.0226529	0.0566376	0.165961	0.36189	0.200256	0.140305
w	0.000304806	7.16316e-05	8.20486e-05	0.000138699	0.000999221	2.36245e-06	8.95836e-05	0.0264177	0.0117659	0.0631402	0.220517	0.653816	0.0226547
á	3.68128e-05	5.05881e-06	2.65955e-05	2.58574e-05	7.57294e-05	8.4181e-07	2.72316e-06	0.000318576	0.000215703	0.000589166	0.000392197	0.998138	0.000172954
n	0.00128821	0.00023968	1.962e-05	4.59208e-05	0.000314558	4.86661e-06	2.37967e-05	0.00119765	0.0062138	0.00640741	0.198874	0.781869	0.00350134
a	0.00394326	0.00116182	0.00313483	0.0141011	0.0257659	0.000355431	0.00198476	0.0527856	0.0351511	0.0350493	0.0328608	0.731044	0.0626625
</S>	0.000957364	0.0025499	0.000379861	0.0135643	0.0167466	0.00129379	0.010582	0.0728418	0.0495867	0.184058	0.286638	0.0174548	0.343348
