 	le	comprimé	est	déjà	avalé	</S>
k	0.516272	0.463361	0.0176081	0.00120578	0.000109959	0.00144315
i	0.131147	0.857142	0.00743622	0.000521258	0.00127032	0.00248307
n	0.026326	0.894886	0.0491435	0.0036264	0.0035782	0.0224399
í	0.130833	0.852545	0.00993645	0.000416426	0.00025759	0.0060116
n	0.482762	0.223056	0.229307	0.0214252	0.002128	0.0413221
i	0.189832	0.58705	0.0844545	0.00947781	0.00179141	0.127395
a	0.0854089	0.0989843	0.576721	0.188836	0.0132219	0.0368275
b	0.0338515	0.0710851	0.433096	0.385302	0.0326587	0.044007
h	0.0171989	0.0636586	0.509427	0.27072	0.0328299	0.106166
í	0.0605427	0.106729	0.518805	0.158602	0.0201663	0.135156
o	0.0722876	0.046518	0.374596	0.0915507	0.042478	0.37257
m	0.00164441	0.0102649	0.0516955	0.22708	0.664246	0.0450692
i	0.00401411	0.0104588	0.021817	0.157898	0.69504	0.110772
á	0.00223842	0.000934669	0.0466746	0.222722	0.353704	0.373726
m	0.0247105	0.00481837	0.175997	0.248078	0.0708905	0.475505
i	0.011443	0.000943585	0.05229	0.183402	0.441089	0.310832
a	0.00395094	0.00304787	0.0818295	0.174965	0.230302	0.505905
</S>	0.0083158	0.00215653	0.102885	0.0810992	0.0348164	0.770727
