 	j'	ai	déjà	tué	un	serpent	naja	dans	la	nasse	</S>
n	0.931163	0.0443838	0.00158559	0.000245844	0.00809364	0.00702732	0.00274447	0.00110106	0.00183131	0.0017679	5.57305e-05
g	0.98196	0.0160609	0.000215968	1.47178e-05	0.000681286	0.000524586	0.000218983	9.59464e-05	8.54468e-05	0.000136238	5.50788e-06
á	0.947453	0.0393372	0.00428709	0.000457204	0.00343087	0.00230037	0.000815621	0.000325968	0.00041049	0.00114776	3.47864e-05
l	0.0319468	0.219275	0.270235	0.0323342	0.017054	0.0129683	0.0246683	0.0277575	0.023944	0.0505991	0.289218
a	0.314543	0.334231	0.161326	0.00847307	0.014902	0.00597749	0.0318472	0.0385711	0.029374	0.00693848	0.0538172
m	0.0405498	0.0971468	0.286557	0.0834466	0.132484	0.0952069	0.0422349	0.0417145	0.0553073	0.0413888	0.0839638
o	0.00502495	0.177697	0.43288	0.353136	0.013796	0.00506153	0.00156791	0.00388257	0.00269752	0.000239738	0.00401741
ó	0.00151386	0.137043	0.316788	0.374674	0.0839833	0.0104701	0.021366	0.0146156	0.014691	0.0104281	0.014427
b	6.67428e-05	0.00264414	0.0682637	0.702668	0.151448	0.0282602	0.0127446	0.0136192	0.00312782	0.00694618	0.0102112
o	5.12713e-06	0.00121363	0.00660858	0.974417	0.00951557	0.00150756	0.0045634	0.000621717	0.000183697	0.00057458	0.000788679
m	1.03207e-05	0.00112391	0.0237174	0.854668	0.0714107	0.01885	0.0131385	0.00500932	0.00142846	0.00454344	0.00609984
á	0.000851861	0.00214392	0.00949912	0.0171919	0.333058	0.32209	0.0297286	0.135552	0.0896137	0.0115167	0.048754
i	6.11059e-05	0.00195358	0.00491966	0.00142113	0.178153	0.304638	0.13325	0.238437	0.0925692	0.0326552	0.0119425
b	3.16419e-05	0.000359741	0.000727716	0.00576735	0.156242	0.133226	0.478622	0.117274	0.0508995	0.0378319	0.0190179
í	3.12136e-05	0.000572731	0.000481552	0.0186718	0.0485738	0.0186893	0.858135	0.0230012	0.0114712	0.0135129	0.00685887
r	8.32051e-05	0.000114501	0.000246885	0.00129248	0.0175996	0.0157891	0.905987	0.0202427	0.00652131	0.0117117	0.0204119
í	2.96683e-05	0.00121996	0.00245613	0.00505183	0.199571	0.29324	0.145239	0.190633	0.0405527	0.0179965	0.104011
m	8.15655e-05	0.000902588	0.00243393	0.000168169	0.0245607	0.031743	0.118523	0.514779	0.255284	0.0209352	0.0305892
ó	0.000591267	0.000712221	0.000992831	0.000701766	0.0198281	0.0391761	0.0363348	0.0938904	0.236207	0.0423215	0.529244
k	0.000323833	0.00122321	0.000449472	0.0007405	0.00917107	0.0124695	0.116453	0.0566024	0.186349	0.580079	0.0361387
ω	1.42076e-05	8.0412e-05	6.16905e-05	0.000103562	0.00533732	0.00604769	0.0661998	0.00804687	0.0364242	0.855865	0.0218189
n	5.23785e-07	1.07597e-05	2.75285e-05	0.00026468	0.0026919	0.00408671	0.0122659	0.00196485	0.00484672	0.971555	0.00228543
y	5.32156e-06	7.23202e-05	0.000196256	0.00187316	0.064576	0.0809531	0.113841	0.0490676	0.0404669	0.60639	0.0425593
i	0.00170996	0.000614856	0.000762263	0.000502443	0.0354281	0.0972815	0.0663592	0.0614696	0.0495131	0.467187	0.219172
</S>	2.34606e-05	0.000139153	0.000250628	6.92868e-05	0.0138721	0.0192475	0.018424	0.0833569	0.0646984	0.295498	0.504421
