 	le	voleur	a	traversé	cette	plaine	à	vive	allure	</S>
m	0.673951	0.261823	0.0440908	0.00725584	0.0101303	0.00100104	0.00132912	0.000402833	4.85564e-06	1.13312e-05
ú	0.0104384	0.985232	0.00321518	0.000172359	0.000204795	9.14156e-05	0.000118225	8.11936e-05	2.03186e-05	0.000426667
b	0.0158428	0.983795	0.000113602	2.12795e-05	9.36241e-05	2.11261e-05	2.69063e-05	1.47513e-05	1.25636e-05	5.84537e-05
h	0.461791	0.0806888	0.251983	0.0232288	0.0651692	0.0128903	0.018081	0.00520583	0.00067487	0.0802866
u	0.697771	0.230047	0.0255297	0.0043426	0.0146177	0.0172488	0.00246846	0.00136853	0.00136852	0.00523717
á	0.213034	0.00662172	0.681181	0.0121413	0.0516225	0.00950316	0.0102443	0.00207222	0.000692421	0.0128871
l	0.0221632	0.000389662	0.205639	0.569454	0.0902065	0.0701736	0.0194542	0.0122427	0.00433908	0.00593785
a	0.00269173	0.00132235	0.0828321	0.799859	0.0516466	0.0246376	0.00870394	0.00562608	0.00908026	0.0136002
a	0.0967319	0.00587733	0.046934	0.603489	0.0874993	0.115422	0.00863663	0.0046729	0.0114944	0.0192426
l	0.00832214	0.000193229	0.100976	0.203263	0.630982	0.0208526	0.0179626	0.00566417	0.00264712	0.00913705
i	0.00630646	0.000289212	0.0182613	0.648329	0.220543	0.0596148	0.0250968	0.00286601	0.00445946	0.0142338
o	0.00825146	0.0003794	0.0637052	0.234022	0.523056	0.0756802	0.0552235	0.00578559	0.0085479	0.0253482
l	0.00292546	0.00199155	0.00133426	0.0855274	0.0374271	0.835381	0.0150954	0.0144309	0.00468972	0.00119716
ω	0.00107867	0.000351217	0.000632022	0.0409381	0.0183345	0.909745	0.00751663	0.00673439	0.00768702	0.00698213
n	0.000386569	0.00049201	0.0015228	0.0153072	0.015565	0.947109	0.00548847	0.00330342	0.00244188	0.00838422
g	0.001001	0.00065845	0.00630823	0.0509094	0.0197769	0.869465	0.0116348	0.0018896	0.00344821	0.0349081
ώ	0.00457953	0.00080714	0.0200312	0.0493736	0.0491423	0.79739	0.0137783	0.00120559	0.00268056	0.061012
m	0.0187251	0.000387504	0.014476	0.00953596	0.163232	0.13011	0.585245	0.0354409	0.00360737	0.0392395
ú	0.156014	0.0327519	0.0138508	0.000725639	0.154533	0.0198449	0.370034	0.0301714	0.00276386	0.219311
ó	0.00857046	0.0268091	0.0140862	0.00912805	0.0636147	0.0226053	0.701291	0.0881279	0.0127382	0.0530292
m	0.0113458	0.00115045	0.0175116	0.00612807	0.080579	0.0776933	0.498165	0.237412	0.0444752	0.0255396
b	0.0055079	0.00838336	0.00422781	0.000369191	0.0386026	0.00398827	0.37404	0.496797	0.0223467	0.0457372
á	0.00180188	0.00477296	0.00102349	0.00149181	0.00572931	0.0185558	0.144018	0.745154	0.0302251	0.0472271
á	0.0064902	9.69091e-05	0.00259682	0.00238161	0.0525761	0.00543865	0.265099	0.119783	0.111891	0.433648
n	0.00595748	0.00047424	0.0116219	0.0197064	0.0324919	0.0127532	0.173765	0.155099	0.489345	0.0987863
g	0.00213469	0.000431738	0.00078171	0.00168186	0.00706693	0.00637841	0.0288553	0.00364324	0.863645	0.0853811
e	0.000547242	0.000379111	0.00102558	0.00112066	0.0042427	0.0116524	0.0171241	0.00324083	0.926844	0.0338234
</S>	0.000301588	6.26617e-05	0.000688309	0.000777563	0.011403	0.017376	0.0959499	0.00622953	0.265063	0.602148
