 	attention	à	ce	que	tu	fais	</S>
ω	0.566913	0.309848	0.0610472	0.0250099	0.0309427	0.00416586	0.00207346
b	0.10975	0.789892	0.0284491	0.0218908	0.013559	0.0179792	0.0184806
á	0.0294608	0.830169	0.0449975	0.0433832	0.00565241	0.0308118	0.0155256
r	0.0143572	0.755863	0.0594081	0.0457065	0.00609638	0.027887	0.0906816
a	0.612082	0.290513	0.0217034	0.0214975	0.0138344	0.0200123	0.0203578
a	0.452027	0.164449	0.172954	0.116925	0.0559894	0.0159852	0.0216707
n	0.0265778	0.0363285	0.151673	0.320841	0.272086	0.09343	0.0990636
d	0.0966139	0.0593318	0.181564	0.127965	0.301061	0.0486385	0.184826
z	0.0968758	0.0920031	0.126561	0.160463	0.223135	0.221232	0.0797312
ó	0.0922046	0.140069	0.224474	0.0611393	0.0621394	0.289673	0.1303
r	0.118384	0.232721	0.242127	0.0676017	0.0273724	0.146119	0.165676
o	0.226536	0.240836	0.281379	0.0411477	0.00470376	0.055956	0.149442
m	0.117735	0.0989234	0.327443	0.250608	0.126783	0.0225747	0.0559326
ó	0.233725	0.165903	0.341755	0.113045	0.0196095	0.0103101	0.115652
y	0.0680342	0.0568058	0.263991	0.252778	0.110628	0.0799588	0.167804
έ	0.0158141	0.0184135	0.124478	0.158931	0.141489	0.450207	0.0906672
έ	0.00726657	0.00752926	0.18245	0.143712	0.0873701	0.189057	0.382614
k	0.00223603	0.00405983	0.0229171	0.0915477	0.124685	0.321409	0.433145
y	0.00093493	0.00529912	0.013086	0.171661	0.110589	0.42943	0.269
á	0.00289995	0.00612684	0.0291348	0.144221	0.0577649	0.515301	0.244552
n	0.00342987	0.0124829	0.0516154	0.177211	0.182574	0.241355	0.331332
ω	0.000602932	0.00381566	0.00776518	0.029456	0.107187	0.448442	0.402731
</S>	0.000666474	0.00164806	0.0266648	0.0591144	0.10866	0.0641664	0.73908
