 	les	moutons	broutent	</S>
i	0.834866	0.133531	0.0299122	0.00169092
n	0.113019	0.669783	0.13585	0.0813482
d	0.0495622	0.751678	0.00619079	0.192569
ω	0.0285365	0.932336	0.000776561	0.0383507
m	0.0287734	0.911009	0.00280984	0.0574074
b	0.200443	0.558139	0.0390589	0.202359
ω	0.133032	0.737246	0.0622564	0.0674663
b	0.337975	0.0598518	0.494243	0.10793
ó	0.382623	0.290525	0.153172	0.173679
b	0.596824	0.0580119	0.226056	0.119108
í	0.745228	0.0792095	0.11697	0.0585925
i	0.673431	0.0241306	0.210341	0.0920983
d	0.0191448	0.00547871	0.0174084	0.957968
z	0.00414441	0.000493363	0.00247053	0.992892
á	0.0639206	0.00475088	0.000956424	0.930372
a	0.0868919	0.0134348	0.0475322	0.852141
</S>	0.0613694	0.0070271	0.0158085	0.915795
