 	la	maison	qu'	il	construit	est	en	bambou	</S>
n	0.203637	0.702562	0.0691633	0.012333	0.00655279	0.00277978	0.00272304	0.000122696	0.000126238
d	0.0249772	0.97245	0.00140426	0.000161356	0.000954575	2.12056e-05	2.27857e-05	5.29007e-06	3.44421e-06
é	0.00982392	0.989	0.000349879	0.000192395	0.000561566	2.0736e-05	1.02401e-05	2.02106e-05	2.11002e-05
e	0.170354	0.637604	0.0655286	0.0104532	0.098732	0.00151944	0.000931952	0.001108	0.0137691
y	0.146612	0.0174794	0.540967	0.148646	0.035157	0.0346516	0.0108817	0.00441811	0.0611873
é	0.434857	0.0288655	0.403409	0.048728	0.0277812	0.0174936	0.00481084	0.00328086	0.0307736
é	0.123531	0.0210597	0.512443	0.185133	0.112771	0.0129472	0.0043809	0.00235665	0.0253772
t	0.030532	0.00165933	0.191921	0.25639	0.393333	0.0628916	0.0367034	0.00930036	0.017269
ó	0.0061198	0.000333837	0.0727004	0.356757	0.375324	0.119904	0.0387621	0.0103088	0.0197906
n	0.00536604	0.000310561	0.0956552	0.172136	0.565513	0.0981093	0.0237257	0.00379942	0.0353847
g	0.0580936	0.00993857	0.175951	0.162546	0.391937	0.10194	0.019478	0.00903203	0.0710831
á	0.115663	0.0121475	0.200693	0.139091	0.469126	0.0299272	0.0103674	0.00644419	0.0165418
w	0.0265587	0.00345068	0.248104	0.251046	0.117333	0.16865	0.100838	0.0530122	0.0310067
a	0.0116639	0.00224294	0.207125	0.332192	0.189917	0.12238	0.0675337	0.0256561	0.0412898
é	0.0103102	0.00132355	0.160383	0.1036	0.124833	0.301361	0.20836	0.0470013	0.0428292
d	0.0144427	0.000535174	0.0424658	0.0431022	0.0476108	0.428247	0.311384	0.0721508	0.0400614
i	0.00633221	6.93009e-05	0.00597805	0.00918061	0.00834496	0.215044	0.287146	0.0821694	0.385735
m	0.00469076	5.04981e-05	0.00910249	0.0056592	0.00888021	0.170404	0.566621	0.124142	0.110449
ó	0.0101529	0.000247968	0.00473971	0.00790464	0.00237942	0.0953	0.182515	0.405616	0.291145
l	0.00332423	0.00065	0.00795142	0.00354312	0.0142766	0.0646238	0.167727	0.627944	0.10996
e	0.00683672	0.000363995	0.00867937	0.00801592	0.011351	0.0527236	0.0976974	0.401189	0.413143
s	0.00173021	0.000191506	0.00334388	0.00115439	0.00504361	0.0457454	0.134176	0.500209	0.308406
ω	0.00581692	0.000185415	0.00136152	0.0011756	0.00798447	0.0376622	0.0995599	0.388576	0.457678
ω	0.000568873	9.62758e-06	0.00131389	0.000315888	0.00170648	0.049609	0.0715241	0.0976141	0.777338
</S>	0.0221821	7.8271e-05	0.0148049	0.00255865	0.00388106	0.0733676	0.16342	0.134751	0.584956
