 	leur	oncle	est	un	grand	réparateur	de	télévision	</S>
b	0.967674	0.0151458	0.0099754	0.00322599	0.00262138	0.000474631	0.000783613	9.34716e-05	5.34929e-06
á	0.621194	0.31522	0.0389398	0.00708188	0.0108476	0.000618902	0.00544556	0.00032708	0.000325203
a	0.970678	0.0117802	0.00891556	0.00377184	0.00262634	9.08855e-05	0.000351988	0.000324853	0.00146006
n	0.555679	0.307901	0.0708496	0.0161635	0.0111129	0.000319123	0.00396967	0.000958929	0.0330468
g	0.389233	0.42574	0.056926	0.0209306	0.0419984	0.00152597	0.0110637	0.00125694	0.0513248
ó	0.0298393	0.960642	0.00170815	0.00220234	0.00307259	0.000565744	0.000430291	0.000134149	0.00140521
l	0.0516843	0.923511	0.00953585	0.00482394	0.00418762	0.000711547	0.00123822	0.00033799	0.00396957
ó	0.168115	0.495302	0.14774	0.0752689	0.0229752	0.0186351	0.0232278	0.0132133	0.0355223
m	0.192327	0.353962	0.284179	0.0999183	0.033619	0.0092182	0.0101457	0.00523172	0.0113987
i	0.0915072	0.166815	0.483118	0.160997	0.0620069	0.00228381	0.00355382	0.00246724	0.0272514
a	0.067813	0.0165244	0.424613	0.282429	0.162185	0.0116287	0.00665283	0.00480591	0.0233483
d	0.00971629	0.0104543	0.132731	0.411512	0.284821	0.0793262	0.0133734	0.015658	0.0424075
í	0.000942306	0.00170651	0.130904	0.473913	0.222028	0.0362313	0.00718002	0.00597468	0.121119
o	0.0165807	0.000872425	0.081487	0.33968	0.317255	0.115116	0.0362805	0.0226156	0.0701129
l	0.000474302	0.00113624	0.00909172	0.0948342	0.165532	0.688777	0.0113266	0.022233	0.00659442
o	8.63519e-05	0.000841052	0.00305644	0.0550109	0.0576647	0.814889	0.00401143	0.0324175	0.0320225
n	0.000638942	0.000444225	0.00452288	0.0785363	0.0677209	0.778186	0.0116576	0.0369282	0.0213652
d	0.000284318	0.000348049	0.0088073	0.0519144	0.0276815	0.831996	0.0218929	0.0197392	0.0373367
i	0.000675754	0.00169175	0.0490319	0.148235	0.1174	0.546663	0.0284797	0.0302844	0.0775384
a	0.00424905	0.000815749	0.0239751	0.07906	0.0926687	0.4412	0.232041	0.062239	0.0637511
t	0.000964525	0.000128919	0.00908241	0.0397441	0.105019	0.111813	0.508396	0.176867	0.0479852
e	0.00327433	0.000118923	0.005629	0.0261724	0.0179149	0.206812	0.0761828	0.538328	0.125568
l	0.00061995	0.000222535	0.00659738	0.0262183	0.027423	0.0615178	0.153085	0.377309	0.347007
é	0.000708195	0.000187862	0.00448559	0.0266694	0.0315439	0.233552	0.166413	0.324084	0.212356
o	0.00148686	0.000575699	0.00433468	0.011571	0.0134181	0.0289376	0.310814	0.267781	0.361081
n	7.36229e-05	0.000166263	0.00169879	0.00935235	0.0136101	0.0287799	0.155771	0.691371	0.0991768
έ	0.000840623	0.014799	0.0108993	0.0387134	0.111014	0.0398015	0.152691	0.264864	0.366378
</S>	0.000348168	0.000103214	0.0014323	0.00725776	0.0144237	0.0149466	0.156597	0.11195	0.692941
