 	c'	est	l'	aîné	des	enfants	qui	est	venu	</S>
e	0.482665	0.31897	0.0679384	0.0430769	0.07082	0.0064487	0.00435557	0.00491133	0.000135704	0.000678157
d	0.0942919	0.672674	0.112746	0.0718654	0.014836	0.00105679	0.00250417	0.0149354	0.0106231	0.0044674
i	0.153954	0.589108	0.103283	0.120058	0.0100652	0.000420328	0.00262543	0.0023561	0.00282659	0.0153031
m	0.0279081	0.16359	0.268912	0.165019	0.0448692	0.00341013	0.00922567	0.0148407	0.00361335	0.298611
w	0.148251	0.219843	0.273017	0.299546	0.0243871	0.00484583	0.00486105	0.00133611	0.000208004	0.0237062
á	0.0373447	0.0529135	0.118943	0.549505	0.0479306	0.0369766	0.0219131	0.016283	0.00406754	0.114122
n	0.588081	0.0788252	0.17169	0.0508902	0.0286949	0.0455663	0.00602689	0.00480083	0.000159076	0.0252653
a	0.184367	0.0902577	0.0806095	0.305688	0.0334726	0.110345	0.0307045	0.00420598	0.00267337	0.157676
y	0.271199	0.141435	0.298197	0.0879376	0.112264	0.0159618	0.0234713	0.0316385	0.00361733	0.0142785
a	0.23939	0.0745724	0.217578	0.355919	0.0450834	0.00758266	0.0461214	0.00228437	0.00333042	0.00813773
b	0.153895	0.0232296	0.235672	0.263587	0.154555	0.123186	0.0349635	0.00318088	0.0040679	0.00366347
o	0.0162079	0.033874	0.0980903	0.38924	0.201456	0.250291	0.00415631	0.00157457	0.00233957	0.00277026
s	0.0168021	0.0417321	0.196696	0.434389	0.245282	0.017379	0.00777824	0.00666781	0.0141957	0.0190784
ó	0.0103877	0.0112868	0.0695071	0.742142	0.0910172	0.0014692	0.00798717	0.00105732	0.000977587	0.0641684
m	0.0319467	0.023883	0.23991	0.121929	0.388132	0.0496755	0.0717958	0.0508785	0.00250467	0.0193452
o	0.0601344	0.0261171	0.13537	0.288076	0.187863	0.0991109	0.103539	0.0287581	0.00504055	0.0659908
r	0.0082866	0.0143889	0.105836	0.312082	0.303881	0.0508323	0.130602	0.0349454	0.0213447	0.0178024
o	0.00738477	0.00375566	0.0518058	0.728122	0.105271	0.0253311	0.0714053	0.00104519	0.000877743	0.00500172
y	0.00169598	0.00249169	0.0731496	0.087825	0.297519	0.134374	0.245646	0.0500103	0.0226033	0.0846852
e	0.0863771	0.0466132	0.1377	0.214255	0.234203	0.0110521	0.191374	0.0319555	0.0149038	0.031567
é	0.0121903	0.00397502	0.0654456	0.0415324	0.149544	0.0643747	0.421957	0.15283	0.0374312	0.0507202
y	0.00450039	0.0197743	0.0597904	0.0468459	0.0351028	0.0150787	0.141276	0.322725	0.311261	0.0436457
έ	0.00418096	0.00417927	0.0246693	0.0342039	0.0437939	0.0144979	0.176679	0.198035	0.386332	0.113429
</S>	0.00132927	0.00137032	0.0181772	0.0238798	0.0607808	0.0177614	0.0728	0.094928	0.138094	0.570879
