 	il	a	mal	aux	côtes	</S>
w	0.706175	0.149838	0.0989007	0.0440797	0.000797947	0.000208666
a	0.77203	0.0936008	0.0621517	0.0660047	0.0060774	0.000135854
a	0.165601	0.54094	0.226798	0.0407542	0.00740675	0.0184991
d	0.0163401	0.329429	0.512515	0.0821657	0.0020792	0.0574709
í	0.022819	0.507641	0.390711	0.0201183	0.00320314	0.0555073
l	0.0105463	0.143032	0.376849	0.13105	0.00913493	0.329388
a	0.0653543	0.129289	0.361903	0.168774	0.00836726	0.266313
b	0.0590304	0.173964	0.309505	0.141294	0.234784	0.0814232
v	0.0434755	0.177177	0.501641	0.165501	0.102182	0.0100241
ú	0.00451596	0.0865446	0.393175	0.466449	0.0452277	0.00408794
a	0.00407971	0.0192159	0.310122	0.574472	0.0547319	0.0373781
m	0.00420721	0.0111352	0.140501	0.713434	0.0207344	0.109989
ó	0.0133864	0.00640981	0.0335259	0.307925	0.40602	0.232733
m	0.00461362	0.00370662	0.0431388	0.281969	0.59905	0.0675217
b	0.000466801	0.000560888	0.00263579	0.0197431	0.911425	0.0651683
a	3.75073e-05	0.000224423	0.00625087	0.0758664	0.904623	0.0129974
n	0.000117998	0.00083359	0.0126922	0.106869	0.83386	0.0456265
d	0.00311166	0.00691867	0.0309415	0.050774	0.62888	0.279375
z	0.00050265	0.000992848	0.0076162	0.0142449	0.504344	0.472299
í	0.00121492	0.00073612	0.00385703	0.00609625	0.676928	0.311168
</S>	0.000647121	0.00131266	0.00695631	0.0394847	0.100026	0.851573
