 	c'	est	une	très	belle	femme	</S>
é	0.719794	0.235671	0.0291698	0.00687611	0.00796144	0.000331675	0.000195624
d	0.149567	0.58041	0.182631	0.0546108	0.00163293	0.0298105	0.00133784
í	0.0400087	0.491991	0.333698	0.101068	0.00389923	0.0163992	0.0129353
e	0.0450485	0.267503	0.400673	0.0760195	0.0348627	0.0112494	0.164645
p	0.0116962	0.108103	0.56773	0.244245	0.00481361	0.0149956	0.0484164
f	0.00368569	0.0261532	0.228413	0.614971	0.00183249	0.00534726	0.119597
u	0.0020283	0.0381308	0.298348	0.58226	0.00162306	0.00107738	0.0765325
a	0.0176351	0.0501442	0.137712	0.289101	0.0448972	0.0201406	0.44037
y	0.0295103	0.0278888	0.229463	0.201596	0.330468	0.0118094	0.169266
á	0.0387997	0.0424829	0.36476	0.3046	0.100574	0.00542856	0.143354
o	0.01822	0.00842608	0.066352	0.108761	0.749549	0.0253618	0.0233299
y	0.00146686	0.0133016	0.0932573	0.444892	0.0862692	0.310164	0.0506484
ú	0.00101786	0.00725771	0.0563106	0.274026	0.15032	0.464435	0.0466329
r	0.0037373	0.00423161	0.0823895	0.171523	0.434377	0.00397016	0.299772
u	0.0120964	0.0106847	0.167706	0.480372	0.127004	0.00253523	0.199602
</S>	0.00575361	0.00434378	0.0521966	0.115915	0.207405	0.00904476	0.605341
