 	il	est	attentif	à	ce	qu'	on	lui	dit	</S>
w	0.389909	0.161783	0.111721	0.120451	0.116857	0.0412495	0.0343363	0.0210118	0.00167485	0.0010064
a	0.305729	0.0529246	0.0255965	0.180353	0.196769	0.0422081	0.0407845	0.118104	0.0372561	0.000275241
l	0.265297	0.270636	0.0580483	0.0515351	0.0530763	0.0628796	0.0850187	0.100394	0.0125002	0.0406149
á	0.0531585	0.0985892	0.0653591	0.0754665	0.0543181	0.0633019	0.0824426	0.09451	0.0498022	0.363052
a	0.0929953	0.100784	0.194975	0.161253	0.0933107	0.0735216	0.0617838	0.0640229	0.0230032	0.134352
k	0.0428042	0.333478	0.381466	0.0431398	0.0157937	0.0190607	0.0167397	0.0118745	0.0808561	0.0547869
ú	0.0473473	0.172834	0.498524	0.0804183	0.0398863	0.0274132	0.0127078	0.0128998	0.0535278	0.0544413
m	0.00292694	0.0539379	0.736115	0.0938702	0.0514508	0.0123133	0.00701319	0.00269536	0.00570262	0.0339746
á	0.0907393	0.0853493	0.138534	0.2179	0.199764	0.140619	0.0755237	0.0326985	0.00114908	0.0177233
a	0.0116902	0.0282579	0.0726079	0.235112	0.29572	0.186408	0.112142	0.0404647	0.0140806	0.00351665
t	0.00340851	0.0151376	0.126711	0.198148	0.209126	0.198384	0.0882306	0.0190167	0.132629	0.00920875
ú	0.0026236	0.0242991	0.305679	0.214357	0.203007	0.160995	0.0269097	0.00489396	0.0348804	0.0223549
e	0.000457191	0.0068122	0.28951	0.161005	0.223119	0.115114	0.0260495	0.00400175	0.0157649	0.158167
m	0.00342835	0.0132503	0.0418869	0.103437	0.187825	0.318618	0.213555	0.071943	0.0137897	0.0322659
ó	0.0142843	0.0187454	0.0128348	0.123127	0.288307	0.295909	0.0628952	0.0534206	0.0110229	0.119455
y	0.0205809	0.0141229	0.0427273	0.201494	0.270776	0.236252	0.0487492	0.0346082	0.11314	0.0175494
έ	0.00344872	0.0122455	0.0288608	0.091602	0.157346	0.274377	0.086076	0.0759881	0.244447	0.0256092
έ	0.00203542	0.00225397	0.017313	0.0872554	0.178889	0.329587	0.148468	0.0858601	0.0841775	0.0641607
s	0.0015611	0.00532999	0.0322123	0.0273062	0.0256306	0.103586	0.308253	0.258909	0.104095	0.133117
ε	0.00103734	0.00631985	0.0206605	0.0174609	0.0187514	0.0704085	0.27368	0.273777	0.171822	0.146082
r	0.000372202	0.00228669	0.0111376	0.0203247	0.0382496	0.0990366	0.121123	0.142995	0.0945925	0.469882
έ	0.000496285	0.00312591	0.0226986	0.0431359	0.0918988	0.192603	0.205323	0.155525	0.0618852	0.223308
b	0.00113861	0.00190521	0.0045681	0.0161567	0.0251712	0.0791065	0.24859	0.336515	0.0286591	0.25819
á	0.00264838	0.00466026	0.00439627	0.0289179	0.0231571	0.0464949	0.303231	0.540827	0.0331282	0.0125386
a	0.00372004	0.00376295	0.00428237	0.0356912	0.0359083	0.0440818	0.263196	0.509586	0.0118929	0.0878787
w	0.00120993	0.00575083	0.00885345	0.00684055	0.00453909	0.0161291	0.0680894	0.191546	0.0668597	0.630182
a	0.00112803	0.0087217	0.015329	0.0136606	0.0131419	0.0245901	0.0828886	0.349629	0.284791	0.20612
</S>	0.00100802	0.00359665	0.0109224	0.0143554	0.0129182	0.0186783	0.0616756	0.231703	0.065374	0.579768
