 	l'	antilope	est	toujours	plongée	dans	le	sommeil	</S>
e	0.658929	0.323936	0.00824857	0.00116025	0.00286177	0.00276927	0.00158947	0.000392938	0.000112709
s	0.17112	0.781071	0.0293036	0.00639851	0.00294177	0.0019538	0.00258412	0.00410413	0.00052278
í	0.394497	0.35629	0.131904	0.0638195	0.0234257	0.00794304	0.00561151	0.00444341	0.0120663
b	0.0908294	0.258026	0.105121	0.0602836	0.0290455	0.0244531	0.032009	0.0173598	0.382872
h	0.141934	0.2911	0.307275	0.0657801	0.0400525	0.0463666	0.0156128	0.00379727	0.0880811
i	0.462237	0.298653	0.0892103	0.0218633	0.0394983	0.0157972	0.00328138	0.00121734	0.0682418
y	0.092301	0.0324959	0.688226	0.086579	0.0483744	0.0196771	0.0143697	0.00386479	0.0141125
é	0.339832	0.0389445	0.311687	0.160527	0.0566656	0.0205041	0.0137101	0.00245719	0.0556726
e	0.155663	0.0327189	0.27279	0.188843	0.195258	0.03968	0.0295312	0.00808848	0.0774272
b	0.00484556	0.0111244	0.220238	0.496771	0.17088	0.0358126	0.0174338	0.0114297	0.0314652
v	0.00404506	0.028884	0.137166	0.307287	0.419499	0.0567982	0.0181955	0.0130671	0.0150581
á	0.00220736	0.0190838	0.10922	0.248613	0.442879	0.139465	0.0262383	0.00498784	0.00730603
f	0.00134559	0.00358192	0.0628606	0.234114	0.164181	0.264126	0.0435589	0.0292874	0.196945
u	0.00703585	0.00316794	0.0712373	0.203417	0.281359	0.115543	0.0498891	0.12202	0.146331
l	0.000743022	0.000722696	0.0398981	0.139481	0.0721197	0.128132	0.102562	0.213805	0.302537
ú	0.00361195	0.0010187	0.0448499	0.10948	0.248889	0.180325	0.210356	0.0663075	0.135162
w	0.000826568	0.000590945	0.0113978	0.0264278	0.0665268	0.246433	0.315328	0.126014	0.206455
a	0.00507924	0.00234395	0.0323499	0.0679239	0.156847	0.163431	0.205321	0.250399	0.116305
m	0.00110202	0.000387897	0.00795448	0.0110267	0.0275809	0.0836457	0.235998	0.324556	0.307747
έ	0.00437939	0.00326397	0.0141659	0.0267081	0.0906786	0.193442	0.318739	0.101516	0.247107
n	0.0018611	0.00104013	0.00701878	0.0130594	0.0238632	0.108127	0.276961	0.31796	0.250109
d	0.00170237	0.00152247	0.00230818	0.00963759	0.0597814	0.0731421	0.180999	0.0335019	0.637405
e	0.00596294	0.00151029	0.00221669	0.0051857	0.0318319	0.0210456	0.100224	0.0648399	0.767183
</S>	0.000174559	0.000178442	0.00217037	0.00667097	0.0362429	0.0246884	0.0889502	0.0562603	0.784664
