 	c'	est	une	tête	brûlée	</S>
w	0.72662	0.189363	0.0667303	0.0155484	0.00149397	0.000244202
a	0.922794	0.0366048	0.0148348	0.0194808	0.00571387	0.000571513
a	0.14021	0.474041	0.303956	0.0452323	0.0136253	0.022935
d	0.0345231	0.322291	0.40332	0.201425	0.0152384	0.0232025
í	0.040618	0.416781	0.332196	0.0614138	0.0311346	0.117857
l	0.025657	0.101529	0.208815	0.0754066	0.0774144	0.511178
o	0.030823	0.0431928	0.433596	0.0380563	0.169435	0.284897
p	0.00389227	0.0173959	0.0865787	0.04424	0.668033	0.17986
f	0.00524264	0.0523372	0.155045	0.0953883	0.591536	0.100451
é	0.00437954	0.137241	0.365491	0.0783051	0.30851	0.106074
é	0.00848058	0.0370246	0.135833	0.0623372	0.237803	0.518521
</S>	0.0131225	0.0393403	0.0787366	0.0382096	0.310389	0.520202
