 	il	se	contorsionne	à	cause	des	maux	de	ventre	</S>
w	0.514661	0.264095	0.0623945	0.0858019	0.0319027	0.016775	0.00997584	0.0112009	0.00223219	0.000960481
a	0.269072	0.238057	0.0710678	0.198099	0.0837975	0.04501	0.0481566	0.0403078	0.00410379	0.00232815
l	0.112567	0.397519	0.382234	0.0673165	0.0083306	0.00729152	0.0058349	0.00778014	0.00239508	0.00873161
á	0.116955	0.307753	0.264385	0.0931132	0.0205024	0.0297279	0.0272394	0.0202733	0.0050896	0.114961
a	0.161232	0.112039	0.224451	0.363699	0.0264228	0.0188823	0.00593888	0.0154547	0.0148871	0.0569929
k	0.049682	0.324374	0.37545	0.159822	0.0431039	0.0059671	0.00347889	0.00569255	0.00411935	0.0283108
a	0.0702357	0.374828	0.284365	0.0974969	0.0903749	0.0240509	0.0107864	0.0151136	0.00644239	0.0263061
n	0.0247158	0.189764	0.317565	0.237083	0.1122	0.0310937	0.0127754	0.0134025	0.0367355	0.024665
y	0.0683416	0.0898296	0.122071	0.356123	0.180943	0.0748777	0.0197468	0.029554	0.0104684	0.0480457
á	0.0608783	0.0512525	0.0809983	0.28522	0.16353	0.127614	0.0392087	0.0336413	0.0189709	0.138686
á	0.0123785	0.0144052	0.0840841	0.178096	0.228155	0.231467	0.0858975	0.136195	0.0196665	0.00965426
m	0.0114683	0.0156011	0.0531149	0.124893	0.106131	0.217316	0.0643626	0.335953	0.0418438	0.029316
í	0.00659329	0.00455126	0.00190752	0.0820831	0.225854	0.112448	0.143544	0.162148	0.0124794	0.248391
f	0.00670474	0.0093082	0.00771993	0.0549315	0.0911362	0.0854407	0.0777033	0.268325	0.32286	0.0758706
ú	0.000960048	0.00359063	0.00647429	0.0137535	0.0780242	0.0403508	0.0257271	0.0688608	0.698034	0.0642247
n	0.000179903	0.000344426	0.00107637	0.0109021	0.0664511	0.0287462	0.00863079	0.0473844	0.756263	0.0800214
d	0.00137639	0.00290359	0.00597677	0.0271884	0.0446239	0.133214	0.0596232	0.168824	0.373044	0.183226
ú	0.00112176	0.00145799	0.00997159	0.00901153	0.0144041	0.0680715	0.0738217	0.0889679	0.425861	0.307311
b	0.00378505	0.00180997	0.00509095	0.00798861	0.00699747	0.104975	0.109686	0.260588	0.299047	0.200032
v	0.0226933	0.0410919	0.13336	0.0700143	0.07685	0.116177	0.0287563	0.16046	0.0803395	0.270258
ú	0.00484578	0.00244677	0.0109365	0.0367038	0.0181925	0.0478493	0.0334043	0.160964	0.575465	0.109192
a	0.000129882	0.00019329	0.000804907	0.00176201	0.00211524	0.0137152	0.0168552	0.0900488	0.625333	0.249043
</S>	0.00317407	0.00614738	0.0105318	0.0172235	0.00979603	0.0429391	0.0787156	0.164749	0.138381	0.528342
