 	cette	femme	a	oint	ses	mollets	d'	huile	de	palme	</S>
o	0.948184	0.0441961	0.000882439	0.000147744	0.00384505	0.000587266	0.000830718	0.00106956	0.000149011	6.08509e-05	4.69982e-05
y	0.22948	0.731239	0.0131333	0.0161897	0.00191292	0.00414968	0.00105538	0.000377375	0.000684124	0.000623349	0.00115481
ú	0.884855	0.103533	0.00107882	0.0095739	0.000225804	0.000361387	7.71197e-05	2.44634e-05	6.11539e-05	0.000162935	4.5972e-05
r	0.955413	0.00906682	0.000944297	0.0138882	0.00329207	0.0050925	0.00209066	0.000552244	0.00120287	0.00441674	0.00404032
u	0.80624	0.0301912	0.0209604	0.00802519	0.0511609	0.0225781	0.0213942	0.0078283	0.00519119	0.0081407	0.0182898
w	0.453281	0.2201	0.25379	0.00417945	0.0257044	0.00429738	0.00569614	0.0113277	0.00871143	0.00251669	0.0103953
ó	0.348794	0.080273	0.144983	0.0133375	0.080108	0.122516	0.0780009	0.0502679	0.0260162	0.0191246	0.0365795
á	0.0274329	0.0056148	0.750627	0.012559	0.0285754	0.0316271	0.0371117	0.0249388	0.022056	0.013149	0.0463087
w	0.00397168	0.00149301	0.59457	0.259199	0.0131031	0.00761791	0.00574147	0.00693928	0.0227532	0.0250774	0.0595341
o	0.0126687	0.00544933	0.270919	0.622977	0.0163159	0.0120777	0.00811989	0.00403477	0.0140356	0.0128638	0.0205382
s	0.181174	0.000954986	0.205014	0.504865	0.0289787	0.00779471	0.00813224	0.00427187	0.0119398	0.00482115	0.042053
i	0.113855	0.000280131	0.155336	0.621333	0.0472914	0.0193558	0.0111454	0.00658017	0.00590719	0.00394316	0.0149723
a	0.0408982	0.00164238	0.167813	0.0541899	0.508537	0.157195	0.0336495	0.0161629	0.00924163	0.00247399	0.00819725
w	0.00430136	0.00127524	0.0929518	0.113968	0.430129	0.220845	0.0472699	0.0308311	0.0242837	0.0162431	0.0179018
ú	0.00388101	0.000465914	0.064804	0.0525531	0.222294	0.19957	0.198503	0.0762162	0.0733314	0.0405429	0.0678383
r	0.00980966	7.79527e-05	0.018309	0.185963	0.426627	0.193613	0.075251	0.0196375	0.023585	0.0204176	0.0267099
a	0.0429309	0.000282052	0.0203977	0.329936	0.241352	0.238378	0.042447	0.0145378	0.0121813	0.0133236	0.0442339
m	0.00572019	9.34628e-05	0.0394194	0.0125169	0.455011	0.303086	0.105369	0.0262325	0.037078	0.00409038	0.0113831
á	0.00175078	7.61464e-05	0.00324098	0.00295573	0.106531	0.556175	0.171672	0.0494725	0.0327744	0.0113599	0.0639913
m	0.00202159	0.0002969	0.00235904	0.00777096	0.0981529	0.44931	0.285427	0.0548508	0.0417591	0.04553	0.0125213
b	0.000365596	0.000259052	0.00197334	0.00219614	0.0415975	0.522081	0.203322	0.0773714	0.0656959	0.0346566	0.0504816
í	0.000283816	5.8982e-05	0.0014217	0.00393196	0.0932565	0.236306	0.254532	0.265277	0.0352213	0.0823819	0.0273294
a	0.00720721	8.46299e-05	0.00339904	0.00590008	0.102178	0.100637	0.363727	0.266804	0.0359629	0.0492934	0.0648064
m	0.000621834	1.92241e-05	0.00534477	0.00168511	0.0339739	0.115684	0.204478	0.197391	0.31666	0.0621534	0.0619887
í	0.00279183	0.000121649	0.000933243	0.00112433	0.0320162	0.28915	0.152106	0.0562126	0.0697673	0.0749765	0.320801
m	0.000154945	1.31738e-05	0.00133739	0.0010225	0.0134773	0.0548726	0.117511	0.127753	0.117809	0.499457	0.0665927
b	0.000226422	4.22635e-05	0.00089425	0.0023976	0.0138216	0.0987902	0.135071	0.0567859	0.0918743	0.434103	0.165994
ώ	0.000130751	1.58948e-05	0.000262245	0.00125874	0.010086	0.0473711	0.0895251	0.0944204	0.0395141	0.620259	0.097157
n	8.01111e-05	4.45044e-06	0.000842974	0.00052902	0.0265267	0.0620107	0.201509	0.254663	0.0428977	0.351312	0.0596237
d	0.00115039	0.000205965	0.00117321	0.00663913	0.0223961	0.0889218	0.16692	0.161113	0.136498	0.27036	0.144623
ω	0.00123206	3.48004e-05	0.000870744	0.0133492	0.0341221	0.118767	0.246116	0.194873	0.083603	0.178531	0.128501
</S>	0.0112217	0.000327288	0.00378197	0.000852781	0.0662727	0.128828	0.19523	0.222782	0.175962	0.0805324	0.114209
