 	le	malade	est	agité	</S>
o	0.682021	0.294822	0.0204788	0.00160134	0.00107672
k	0.0592601	0.928049	0.00652879	0.00458556	0.00157639
ω	0.00895762	0.985556	0.00109709	0.00311366	0.00127582
n	0.00351108	0.994389	0.00131662	0.000466762	0.000316278
í	0.0460403	0.943472	0.00212332	0.000990185	0.00737418
b	0.175429	0.0201393	0.708482	0.0146758	0.0812737
ó	0.624747	0.0527342	0.101095	0.0121953	0.209228
m	0.369588	0.00535688	0.574016	0.0137233	0.0373152
ó	0.193168	0.00151956	0.391351	0.0970613	0.3169
o	0.411678	0.0281391	0.296936	0.203731	0.0595155
t	0.00445755	0.00336446	0.121874	0.713161	0.157143
í	0.00301433	0.0107924	0.110537	0.6798	0.195856
n	0.00597226	0.00192584	0.184594	0.469259	0.338249
a	0.013259	0.0205876	0.173149	0.415262	0.377743
a	0.0225188	0.00350298	0.367342	0.263997	0.34264
</S>	0.0398156	0.00630085	0.178654	0.459484	0.315745
