 	le	football	que	j'	ai	joué	hier	a	réactivé	ma	maladie	</S>
d	0.482875	0.406542	0.090998	0.00562239	0.00733926	0.000767845	0.00168716	0.00256381	1.6219e-05	0.00111986	0.000445108	2.33259e-05
i	0.0642493	0.923006	0.00192393	0.00301343	0.00106275	0.000423723	3.98648e-05	0.000157184	0.00012956	0.00297889	0.00040392	0.00261151
n	0.0679258	0.900052	0.00719467	0.00093447	0.00177556	0.00985141	0.00507629	0.00138795	0.00157357	0.000446305	0.00025371	0.00352813
g	0.316458	0.590689	0.0275438	0.020878	0.00998087	0.0113335	0.000516316	0.0017802	0.00894719	0.00490128	9.27883e-05	0.00687941
a	0.276246	0.631129	0.0274335	0.0135327	0.00612358	0.0240393	0.000238095	0.000744766	0.00483594	0.00656451	9.0653e-05	0.00902212
l	0.122498	0.0602187	0.395473	0.0149161	0.105186	0.0804934	0.0531119	0.0412554	0.00796274	0.0135915	0.000717985	0.104575
í	0.111228	0.0277746	0.152127	0.103148	0.0699052	0.027921	0.0469278	0.100608	0.0298629	0.0766851	0.00535414	0.248459
í	0.164244	0.0186637	0.412647	0.131821	0.116694	0.0430849	0.0314768	0.0382162	0.00790327	0.0151416	0.00152625	0.0185807
b	0.0478976	0.0080326	0.0226777	0.0821706	0.309833	0.352045	0.0347461	0.0449013	0.0610122	0.0114933	0.00277519	0.0224152
ε	0.00887762	0.0122705	0.0263103	0.0794568	0.464361	0.359213	0.00834086	0.0244312	0.00303189	0.00334465	0.00216593	0.00819643
r	0.0506199	0.0934774	0.0304734	0.0258325	0.0883986	0.629011	0.0127131	0.0107974	0.00376611	0.00933741	0.000982215	0.0445907
í	0.140729	0.143465	0.102086	0.0963282	0.150564	0.0882949	0.0740601	0.0580268	0.00810545	0.0858368	0.00562683	0.0468783
n	0.0121238	0.00255182	0.193054	0.476122	0.192693	0.0375529	0.0537647	0.0232248	0.00114768	0.00485136	0.000501041	0.00241305
g	0.0246194	0.00702459	0.0881839	0.702392	0.0780082	0.0375379	0.00675295	0.00747837	0.0031208	0.0336946	0.00189619	0.00929067
á	0.0110014	0.0141722	0.107539	0.589897	0.0888754	0.157973	0.0047714	0.0043798	0.0100147	0.00458303	0.00235105	0.00444215
l	0.0175899	0.00475205	0.0684145	0.159115	0.181223	0.0773865	0.318281	0.118976	0.00438198	0.0310102	0.00664223	0.0122286
a	0.0158193	0.0052858	0.0298586	0.156718	0.0983068	0.285717	0.198879	0.0462332	0.0283162	0.0373861	0.00292882	0.0945517
p	0.0109465	0.00212514	0.0131985	0.0366545	0.0243945	0.10743	0.696193	0.0484603	0.0279249	0.00826033	0.00440174	0.020011
ó	0.00109098	0.00593702	0.00236758	0.00836579	0.0230055	0.0781029	0.827557	0.0165685	0.021656	0.000756098	0.00922104	0.00537165
a	0.000258164	0.000634018	0.00222757	0.00687243	0.0192891	0.0859567	0.801775	0.0414554	0.0262496	0.00181729	0.00283239	0.0106325
í	0.00221357	0.000160014	0.0100574	0.0172673	0.0222224	0.012202	0.146717	0.679421	0.051549	0.0421206	0.00178885	0.0142812
l	0.0039974	0.000539219	0.0013735	0.00367665	0.0107315	0.0126562	0.0459667	0.196133	0.692543	0.0234348	0.00210899	0.00683901
a	0.000851545	0.000175397	0.000590351	0.00501158	0.00545348	0.0102765	0.037597	0.151172	0.740359	0.0192807	0.00273846	0.0264945
n	0.000444316	0.000255648	0.000370879	0.00682969	0.00770447	0.0218	0.0716078	0.0493363	0.785325	0.0198313	0.0101299	0.0263647
g	0.000480985	0.000128922	0.000771892	0.00498899	0.0101472	0.0132189	0.0962933	0.134486	0.636788	0.0473209	0.0261112	0.0292635
i	0.00059731	0.00115713	0.0100272	0.055086	0.0227432	0.0316829	0.15999	0.106304	0.371319	0.0578087	0.130053	0.0532319
s	0.00139675	0.00136485	0.0206246	0.0828803	0.0117785	0.00328786	0.1623	0.244935	0.0184501	0.293442	0.0777833	0.0817569
i	0.00653959	0.00360662	0.00443716	0.0299002	0.00715781	0.00809493	0.0640138	0.0795171	0.450741	0.145794	0.0560346	0.144163
n	0.00182002	0.000219021	0.0160717	0.0670972	0.00458442	0.000671923	0.0339138	0.218396	0.0310948	0.472667	0.041032	0.112432
g	0.00427309	0.00375245	0.0050079	0.0690791	0.00405553	0.00407836	0.00489974	0.0359147	0.456733	0.28969	0.0448218	0.0776941
á	0.00101013	0.00848506	0.0183564	0.250317	0.0121076	0.00565467	0.0138083	0.12332	0.32878	0.147257	0.0561332	0.0347705
n	0.00323931	0.000542226	0.00201435	0.000938873	0.00108892	0.00086643	0.0104842	0.0421001	0.0238602	0.46907	0.297028	0.148768
d	0.00548737	0.00323964	0.00232081	0.0132069	0.00286302	0.00579833	0.00374864	0.0206158	0.186739	0.359596	0.143556	0.252828
z	0.000418001	0.00307434	0.00127934	0.00458938	0.00110592	0.00251454	0.0027428	0.0115364	0.592235	0.101828	0.0568859	0.22179
ó	0.000256198	0.00830389	0.00031773	0.000841936	0.000383744	0.00433193	0.00140862	0.00403796	0.280814	0.106434	0.242791	0.350078
r	0.0012773	0.00728929	0.00266029	0.0171688	0.00794194	0.042295	0.00879831	0.00631069	0.175163	0.0578788	0.545464	0.127753
o	0.00104379	0.00678631	0.000355	0.000711932	0.000331834	0.00570288	0.00249199	0.00103823	0.0261272	0.0193124	0.685489	0.250609
b	0.00237914	0.00209247	0.000911999	0.00186387	0.00119247	0.00184724	0.0108018	0.0216746	0.0333248	0.119144	0.151702	0.653066
v	0.000292613	0.00172242	0.00659475	0.0076203	0.00314853	0.000790329	0.00390284	0.0155353	0.00736026	0.0863074	0.758157	0.108568
ú	0.0148968	0.00361813	0.000891539	0.0010626	0.000751176	0.00212909	0.000499193	0.00110032	0.00185631	0.0695769	0.707311	0.196307
a	0.00848218	0.000544123	0.000138283	0.000725617	0.000682032	0.00055681	0.00351663	0.00487421	0.0339591	0.136551	0.474135	0.335835
</S>	0.00272284	0.000127349	0.000493784	0.000286792	0.00049507	0.000912509	0.00111547	0.00899459	0.014432	0.402998	0.0448472	0.522574
