 	il	aime	se	battre	il	est	très	batailleur	</S>
w	0.791667	0.0250829	0.0759977	0.0428679	0.039141	0.0143829	0.0100359	0.000718328	0.00010683
a	0.77234	0.0134156	0.0777416	0.0735673	0.0439914	0.0160535	0.00266508	0.000139964	8.5849e-05
a	0.230253	0.392159	0.0995704	0.0478086	0.0626105	0.118619	0.0448723	0.00180461	0.00230295
d	0.0930784	0.405703	0.178055	0.0580242	0.0508311	0.0992651	0.0402789	0.0161522	0.0586114
í	0.0341395	0.664165	0.116454	0.0303158	0.0235372	0.062062	0.0152569	0.00189724	0.0521723
l	0.0386771	0.295325	0.205673	0.0914452	0.0483907	0.0999869	0.0219939	0.0181437	0.180365
a	0.122073	0.203725	0.193403	0.109863	0.141504	0.0839344	0.0443638	0.0198169	0.0813168
p	0.062094	0.37694	0.132998	0.122652	0.0905576	0.0660344	0.0711087	0.0485734	0.029042
ó	0.0161836	0.292188	0.176675	0.170903	0.112001	0.0208264	0.0400487	0.138332	0.0328413
s	0.00164877	0.313721	0.193079	0.162201	0.159291	0.0763879	0.0696081	0.00769515	0.0163682
á	0.00568118	0.191904	0.175555	0.237715	0.124423	0.0693202	0.0531597	0.012653	0.129588
i	0.0715844	0.0153559	0.137021	0.215433	0.249697	0.226949	0.0585642	0.00191827	0.0234777
t	0.0115121	0.0171558	0.0454166	0.0684244	0.0660907	0.121498	0.537887	0.0475651	0.0844507
u	0.00169882	0.036851	0.0808732	0.108734	0.0674256	0.111218	0.419005	0.116671	0.0575239
m	0.000663219	0.0153662	0.0301952	0.0988288	0.0538778	0.131791	0.453647	0.14436	0.0712699
b	0.00496375	0.00264712	0.0111866	0.0820439	0.109795	0.0975342	0.546923	0.0748316	0.0700743
a	0.00285232	0.00277006	0.0164108	0.201304	0.128849	0.0389242	0.390778	0.0722995	0.145812
a	0.00401931	0.00313392	0.0195327	0.033732	0.0567456	0.228779	0.424048	0.04119	0.18882
d	0.0123415	0.0299998	0.0592343	0.0282719	0.0212348	0.105485	0.216623	0.440078	0.0867316
í	0.0020012	0.0274246	0.0128466	0.00435097	0.00159007	0.0298117	0.100715	0.105254	0.716005
n	0.00228532	0.00553381	0.0165776	0.0172832	0.00952302	0.0706038	0.132907	0.387165	0.358121
d	0.00112589	0.00128332	0.00185426	0.00332995	0.00272513	0.00824365	0.105852	0.68859	0.186996
z	0.000186327	0.000398727	0.000744744	0.00103287	0.000861597	0.00177584	0.0237919	0.899387	0.0718208
a	2.74335e-05	0.00036678	0.000180494	0.000723657	0.000555552	0.00152913	0.0486974	0.919898	0.0280218
n	8.15913e-05	0.000877642	0.00126526	0.00909596	0.00783352	0.0152173	0.119082	0.407841	0.438706
g	0.000355047	0.00562785	0.0134755	0.0280078	0.010099	0.0237556	0.113556	0.413232	0.391891
á	0.000325928	0.000802207	0.00190833	0.00931655	0.00539147	0.00348769	0.0936054	0.401064	0.484098
</S>	0.00107283	0.00169194	0.00682779	0.0115472	0.013645	0.0180213	0.0772468	0.108688	0.761259
