 	le	martin-	pêcheur	se	nourrit	de	poissons	</S>
i	0.845478	0.134816	0.00820068	0.00999539	0.000109851	0.00117098	0.000200677	2.88541e-05
k	0.0228187	0.967797	0.00827137	0.000175884	0.000437032	0.000205015	0.000101525	0.000193265
a	0.000459221	0.993867	0.00511605	3.07664e-05	2.37549e-05	7.64317e-05	0.000316664	0.000109669
m	0.00500048	0.97442	0.0186596	0.000615412	0.000157428	0.000205664	0.000659258	0.000281738
b	0.0556891	0.724526	0.185641	0.0032208	0.00488031	0.00426045	0.00232158	0.0194599
a	0.512045	0.432557	0.0214318	0.00549605	0.00442043	0.00219012	0.00161809	0.0202419
l	0.101557	0.0280897	0.670631	0.137209	0.00927676	0.0148675	0.00140038	0.0369697
í	0.104293	0.00836429	0.239971	0.17083	0.0762274	0.058739	0.027236	0.314339
i	0.134188	0.0105017	0.169675	0.436727	0.0743667	0.0664584	0.0115199	0.0965632
d	0.0204487	0.022016	0.241267	0.157899	0.449291	0.024795	0.013705	0.0705795
z	0.00492529	0.00140451	0.0312748	0.02059	0.88601	0.0142866	0.0124683	0.0290399
á	0.00101531	7.85302e-05	0.000676172	0.00551384	0.982929	0.00479506	0.00118826	0.00380401
á	0.00183435	0.000245072	0.00386167	0.155476	0.562772	0.119851	0.0472777	0.108682
m	0.00815189	0.00175493	0.00855843	0.252138	0.300632	0.328621	0.0570191	0.0431246
á	0.00583083	0.000848937	0.0018902	0.0230178	0.357594	0.323451	0.113864	0.173503
s	0.0253513	0.0162326	0.0125531	0.0634821	0.227288	0.235294	0.386958	0.0328422
w	0.00176148	0.000326786	0.00399336	0.0150184	0.211502	0.263698	0.415453	0.088247
é	0.000165166	5.22083e-05	0.0002375	0.00374914	0.200814	0.292872	0.471091	0.0310189
</S>	0.000315767	0.000294116	0.000668064	0.005986	0.0841554	0.232188	0.42955	0.246843
