 	c'	est	lui	qui	me	remplace	à	ce	poste	</S>
o	0.403588	0.382121	0.0770414	0.0406141	0.0251436	0.0432319	0.0203616	0.00587587	0.00110778	0.000914515
k	0.0250258	0.0485473	0.0131451	0.0341025	0.0702405	0.764754	0.0310058	0.0063515	0.00167447	0.00515249
i	0.00463585	0.015338	0.00396665	0.0026794	0.00923205	0.925549	0.020984	0.0030804	0.00550597	0.00902906
i	0.00657668	0.0469803	0.020819	0.0149493	0.0330155	0.807755	0.0305111	0.0130786	0.0143245	0.0119903
s	0.169132	0.167316	0.155363	0.144828	0.0599213	0.200319	0.0474587	0.0198595	0.0110004	0.0248038
i	0.163481	0.108848	0.0882029	0.0400934	0.120548	0.201865	0.0738641	0.0388068	0.0178016	0.14649
n	0.0660166	0.0509184	0.333253	0.142941	0.229086	0.0079313	0.0590612	0.0918699	0.0054653	0.0134579
g	0.0130865	0.00518309	0.049581	0.163305	0.711844	0.00628344	0.014962	0.0243491	0.000587141	0.0108186
á	0.00317629	0.00323518	0.0516972	0.119003	0.743574	0.00844545	0.0250944	0.0257213	0.000757675	0.0192962
m	0.0121186	0.00667547	0.0372679	0.095663	0.121708	0.0640482	0.313846	0.328743	0.00968438	0.0102452
é	0.0195555	0.00931911	0.00872561	0.0274681	0.00464068	0.00537995	0.139107	0.597008	0.0486998	0.140096
b	0.0136882	0.0245631	0.037003	0.0756263	0.040145	0.0349122	0.328972	0.301746	0.111233	0.0321113
é	0.00417439	0.0229313	0.0156728	0.0160137	0.0263608	0.0463741	0.26384	0.171793	0.379492	0.0533481
e	0.00718461	0.0112574	0.0513689	0.0567955	0.0950136	0.0237072	0.180617	0.200843	0.320794	0.0524186
y	0.00366332	0.00270453	0.0122648	0.0540228	0.0437701	0.0360973	0.210613	0.462571	0.077126	0.0971667
í	0.0276253	0.0102958	0.04423	0.108468	0.12568	0.0173744	0.178245	0.235746	0.0729894	0.179346
i	0.00642079	0.00369036	0.0384246	0.12021	0.200697	0.0150109	0.12259	0.370692	0.0422827	0.0799804
é	0.0034823	0.00480147	0.00410936	0.00957501	0.0120281	0.0158929	0.118945	0.131469	0.359084	0.340613
d	0.00115464	0.00486267	0.00402664	0.0172299	0.0246329	0.0277552	0.160893	0.202355	0.205162	0.351928
í	0.00163721	0.00114718	0.00174985	0.0043174	0.00411027	0.0188538	0.0565287	0.0890225	0.123591	0.699042
w	0.00538059	0.00167165	0.0144579	0.0421033	0.0571757	0.00781763	0.0633791	0.204598	0.0769328	0.526483
a	0.00716144	0.00873405	0.0368441	0.0248118	0.0323439	0.00346012	0.082156	0.334047	0.285824	0.184618
</S>	0.000547826	0.000637257	0.00230289	0.00292874	0.00531226	0.00445682	0.0964591	0.198441	0.104365	0.584549
