 	il	s'	habille	comme	un	riche	par	imposture	</S>
w	0.975121	0.0173926	0.000446109	0.00390871	0.00126837	0.000863166	0.000587767	0.000389766	2.20862e-05
a	0.960207	0.0169434	0.00053465	0.0170189	0.00227113	0.000477687	0.00126055	0.00126785	1.90612e-05
l	0.318124	0.615461	0.0228002	0.0185243	0.00736332	0.0028238	0.00393049	0.00111542	0.00985733
á	0.138503	0.228913	0.0148519	0.0894115	0.056356	0.0281271	0.0507388	0.0208381	0.37226
a	0.217905	0.307635	0.082277	0.0417863	0.0529753	0.0645035	0.0444308	0.070602	0.117885
l	0.0235956	0.457535	0.490119	0.00763054	0.00478232	0.00135996	0.00251992	0.00130213	0.0111554
á	0.00151111	0.165328	0.826198	0.00223632	0.00129726	0.000249176	0.000276302	9.71183e-05	0.00280673
r	0.014304	0.306337	0.630698	0.0210325	0.00417151	0.00287573	0.00170542	0.000577044	0.018299
á	0.0622738	0.519136	0.28332	0.0944971	0.0122507	0.00664243	0.00684956	0.00095832	0.0140713
i	0.0536965	0.137356	0.107298	0.569499	0.0812177	0.0212368	0.0181639	0.00791532	0.00361651
k	0.00493975	0.0158506	0.544517	0.307684	0.0940401	0.017867	0.00364162	0.00742169	0.0040382
á	0.00647156	0.0209776	0.528421	0.273728	0.1447	0.0050586	0.00477366	0.00585768	0.0100112
n	0.0086587	0.0473168	0.389854	0.292317	0.129983	0.00325357	0.0317554	0.0226249	0.0742362
d	0.0132574	0.0607205	0.58494	0.132244	0.0671801	0.0283714	0.0176849	0.0136718	0.0819295
á	0.0384529	0.0941152	0.280618	0.142003	0.159711	0.149417	0.0123331	0.00484197	0.118507
m	0.0089068	0.117723	0.0950017	0.363575	0.227787	0.0454273	0.0740963	0.00692391	0.0605592
b	0.00561238	0.0268387	0.00196404	0.187308	0.318094	0.0393035	0.252751	0.00105995	0.167069
í	0.00444338	0.00369666	0.00461101	0.176358	0.643373	0.0532028	0.101368	0.0013101	0.0116368
o	0.0403437	0.0215861	0.0105015	0.270609	0.374872	0.0199782	0.134587	0.00940242	0.11812
n	0.000540361	0.0139985	0.0324336	0.0963093	0.515024	0.163331	0.119167	0.0119438	0.0472516
a	0.0010137	0.0728587	0.017886	0.044234	0.15658	0.463381	0.126887	0.0101196	0.10704
n	0.000366412	0.0139575	0.00251575	0.0388358	0.179328	0.471551	0.203644	0.0170325	0.0727687
g	0.000165313	0.00770379	0.00337146	0.0110724	0.0408463	0.85778	0.0573308	0.00661762	0.015112
a	2.3044e-05	0.000265824	0.000246486	0.00220232	0.0192917	0.952161	0.0184452	0.00363	0.00373447
m	0.000155823	0.00248972	0.00160073	0.0203411	0.0664027	0.562209	0.235601	0.0304745	0.0807261
í	0.00482996	0.00867662	0.00038049	0.0335988	0.0500819	0.0631622	0.413959	0.00356832	0.421742
p	0.000436882	0.00584655	0.00239019	0.0194544	0.0585846	0.168605	0.328148	0.31214	0.104395
á	0.00117173	0.00241641	0.000619637	0.00648578	0.0374475	0.159809	0.101794	0.655894	0.0343621
á	0.000516372	0.00197298	0.00244371	0.00851454	0.0200911	0.0357132	0.173215	0.646073	0.11146
n	0.000290981	0.00237498	0.00332279	0.0136208	0.0135983	0.067312	0.254305	0.400122	0.245053
á	0.00035323	0.00359058	0.00632329	0.00737846	0.0207919	0.461805	0.092433	0.323524	0.083801
</S>	0.000234281	0.00170463	0.00100246	0.00945963	0.0139826	0.0577077	0.224103	0.285117	0.406688
