 	on	a	entendu	le	bruit	d'	un	coup	de	fusil	</S>
b	0.879643	0.0937644	0.00144453	0.00685888	0.0108323	0.00344565	0.00193304	0.000357293	0.00162283	3.03907e-05	6.79139e-05
í	0.608345	0.346791	0.00563504	0.0243867	0.00578101	0.00476388	0.00102161	0.000237045	0.002955	1.90079e-05	6.38915e-05
s	0.756726	0.229757	0.00866829	0.00226274	0.000972448	0.000513969	0.000277422	9.29762e-05	0.00022419	1.70225e-05	0.000488002
í	0.508135	0.387544	0.0160356	0.0164005	0.00196229	0.010977	0.00598167	0.0107052	0.00912716	0.00408573	0.0290453
l	0.267506	0.239721	0.104907	0.0223473	0.00713215	0.0127014	0.00871945	0.0108232	0.0130645	0.00562846	0.307449
é	0.0813923	0.346949	0.100843	0.0665328	0.00781353	0.0338176	0.0264118	0.0643841	0.029195	0.00617612	0.236485
b	0.0879746	0.531749	0.189996	0.0988278	0.012116	0.0113606	0.0141388	0.0258344	0.00683329	0.00621502	0.014955
ó	0.0515901	0.123005	0.632213	0.0531595	0.0773918	0.0297914	0.0135059	0.00592104	0.00901763	0.000754028	0.00365104
n	0.052594	0.194605	0.43727	0.0977332	0.0976822	0.0315975	0.0313824	0.0319406	0.00601766	0.00724406	0.0119336
d	0.0388997	0.093993	0.186632	0.335656	0.128177	0.070121	0.0498384	0.0389555	0.0160508	0.00716578	0.0345115
i	0.0417255	0.10191	0.0659808	0.344304	0.0770231	0.0902769	0.0606962	0.0781736	0.0260018	0.0217866	0.0921213
e	0.0115066	0.0136671	0.00241862	0.428633	0.201956	0.209626	0.0686744	0.0176769	0.0324861	0.00209337	0.0112617
k	0.00272093	0.00902306	0.00832792	0.058885	0.386625	0.160135	0.21149	0.115465	0.00845523	0.0334377	0.00543529
í	0.000526245	0.00226386	0.00542743	0.0241603	0.646522	0.0907722	0.158212	0.0539066	0.00514853	0.0084016	0.00465986
n	0.000999999	0.00524172	0.0169413	0.0279471	0.461071	0.0860577	0.148077	0.132276	0.0104943	0.025105	0.0857884
d	0.00215795	0.0100219	0.0100496	0.0799771	0.156498	0.201227	0.256097	0.180261	0.023897	0.0186463	0.061166
i	0.00333284	0.00721818	0.00372436	0.0484067	0.0421252	0.138474	0.198278	0.216418	0.0540565	0.0758839	0.212082
y	0.0014026	0.00138345	0.000149122	0.0167024	0.0119996	0.146739	0.186571	0.104659	0.397667	0.0301663	0.10256
o	0.00194091	0.0020594	0.000151533	0.007701	0.00539645	0.03652	0.0968742	0.171072	0.136161	0.387077	0.155047
t	0.00031921	0.000310816	0.000122577	0.00194084	0.00134366	0.0109953	0.0281982	0.0746455	0.113458	0.653962	0.114704
á	0.000733208	0.000512219	0.000195347	0.00250733	0.00896912	0.00775963	0.0338367	0.0317487	0.0512655	0.803822	0.05865
</S>	0.00130563	0.00121646	0.000884004	0.00131627	0.00321794	0.00579642	0.0144809	0.026425	0.0456217	0.719774	0.179961
