 	j'	ai	attrapé	une	petite	perche	à	l'	hameçon	</S>
n	0.949642	0.0316934	0.000776199	0.00476448	0.00459727	0.000494273	0.0019865	0.00271233	0.00310609	0.00022709
g	0.978753	0.0173658	0.000122296	0.000910191	0.000608654	3.07351e-05	0.000329008	0.00144571	0.000408721	2.58659e-05
á	0.936134	0.0517354	0.0043405	0.00401907	0.00126382	0.000325091	0.000265296	0.000586441	0.00127185	5.80832e-05
í	0.0254838	0.449779	0.140775	0.0887916	0.0305034	0.00290161	0.00642186	0.019181	0.00574167	0.230421
p	0.0018758	0.0713031	0.860562	0.0479485	0.0108186	0.00242968	0.000976244	0.000802136	0.000351775	0.00293192
i	2.27998e-05	0.00334445	0.938541	0.030092	0.00748696	0.0178942	0.000517589	7.12673e-05	0.000590883	0.00143891
i	9.04499e-05	0.0103937	0.441676	0.264249	0.0910142	0.18729	0.00427006	0.000261805	0.000335138	0.000419839
e	0.00158179	0.037218	0.0261755	0.340597	0.38819	0.0909823	0.084805	0.0229564	0.00188841	0.00560491
k	0.000150624	0.00806625	0.0257181	0.0985852	0.323647	0.338901	0.127238	0.0411071	0.0114305	0.0251561
y	4.57887e-07	2.98341e-05	0.0121111	0.0399917	0.122745	0.807668	0.00794541	0.000426833	0.00777504	0.00130602
έ	3.41361e-06	8.29301e-05	0.00679497	0.036723	0.104716	0.811941	0.0281881	0.00195022	0.0042123	0.00538806
n	6.60509e-07	2.73703e-05	0.00176224	0.0285824	0.103695	0.767006	0.0767922	0.00962106	0.00274744	0.00976577
g	1.1178e-05	4.75915e-05	0.00135342	0.0198533	0.0935902	0.690309	0.157013	0.0151634	0.0037391	0.0189203
έ	0.000131957	9.31563e-05	0.000715432	0.00868177	0.0741613	0.545069	0.190215	0.0611867	0.0351253	0.0846209
m	5.20194e-06	0.00010211	0.000124909	0.00781813	0.0315079	0.0655161	0.480981	0.315999	0.0309569	0.0669882
í	0.000668229	0.000220008	0.000165889	0.00334781	0.00986608	0.00589594	0.0926703	0.300422	0.00522438	0.581519
l	0.000132142	0.000439478	0.000424258	0.00225763	0.00600435	0.00807238	0.0612016	0.18346	0.682386	0.0556223
ώ	7.58517e-05	0.00118559	0.00233379	0.0030495	0.00792115	0.0258951	0.0802083	0.201364	0.507601	0.170365
b	1.23072e-06	9.15227e-05	0.00027551	0.000916097	0.00177233	0.00768814	0.0112876	0.0186104	0.94927	0.0100868
h	1.71387e-05	5.20652e-05	0.0008019	0.00335677	0.0151298	0.0314976	0.0920287	0.0978722	0.572659	0.186585
ω	9.44648e-06	1.26817e-05	0.000418334	0.00511383	0.0202051	0.0492943	0.0915955	0.0714478	0.594102	0.167801
</S>	0.000416286	4.02333e-05	4.98828e-05	0.00112874	0.00516706	0.0163369	0.0552937	0.0836951	0.205024	0.632848
