 	je	suis	natif	de	boundji	</S>
n	0.765275	0.168141	0.0335187	0.0240945	0.00814049	0.000829824
g	0.795026	0.184851	0.0173547	0.00208729	0.00059446	8.59454e-05
á	0.699617	0.270369	0.0255303	0.00090658	0.00352149	5.5369e-05
i	0.0832396	0.574776	0.126207	0.0782802	0.0563635	0.0811331
d	0.122761	0.599138	0.0744061	0.0407337	0.0317426	0.131218
i	0.0763799	0.420986	0.370101	0.0218057	0.00724359	0.103483
m	0.0393076	0.186353	0.532597	0.0752915	0.0104724	0.155979
w	0.00020753	0.00170535	0.986438	0.00728938	0.00230837	0.00205122
á	5.59083e-05	0.000365217	0.997437	0.000703786	0.00122024	0.000217812
n	0.00354705	0.00496419	0.925247	0.0439545	0.00986703	0.0124202
a	0.0250823	0.156555	0.61263	0.100795	0.0389017	0.0660351
y	0.00554326	0.181846	0.0138567	0.728864	0.0301583	0.0397313
a	0.0105009	0.139091	0.144219	0.20974	0.254353	0.242096
m	0.0174587	0.133353	0.0351206	0.423475	0.333943	0.0566499
b	0.00015924	0.00621656	0.316637	0.183334	0.296901	0.196753
o	7.49012e-05	0.000736581	0.227348	0.0377317	0.685892	0.0482174
n	0.000728993	0.00153193	0.0448204	0.0398468	0.687822	0.225249
d	0.000435826	0.0163824	0.0373801	0.111175	0.62217	0.212457
z	0.00107797	0.0248926	0.0560156	0.0343811	0.727417	0.156215
i	0.00136067	0.00219332	0.00663733	0.0193066	0.879316	0.0911863
</S>	0.00227038	0.015247	0.00372771	0.202583	0.106189	0.669984
