 	j'	ai	pressé	des	citrons	hier	</S>
n	0.950482	0.0381814	0.00219649	0.00771107	0.000724229	0.000421899	0.000283257
g	0.99691	0.00281791	3.54613e-05	0.000220594	7.9758e-06	1.58022e-06	6.48411e-06
á	0.981159	0.0178516	0.000441461	0.000420735	9.77968e-05	1.69779e-05	1.24891e-05
í	0.37943	0.486373	0.0227286	0.0172328	0.0117011	0.00198788	0.0805473
b	0.00940842	0.18436	0.73467	0.0190769	0.0409256	0.000660319	0.0108985
h	0.000907982	0.159748	0.792687	0.0264815	0.00890578	0.00127485	0.00999515
í	0.0193844	0.100531	0.766488	0.0944721	0.0144057	0.000145926	0.00457322
n	0.0133919	0.0430232	0.813517	0.0755592	0.0191692	0.000936866	0.0344029
y	0.00414736	0.133471	0.710355	0.136321	0.00822929	0.000728981	0.00674781
i	0.00245549	0.0504571	0.591988	0.2861	0.0191229	0.00160703	0.0482693
a	0.015644	0.106142	0.181678	0.661734	0.0239774	0.00149022	0.00933403
l	0.00326699	0.0340427	0.140809	0.501848	0.282814	0.00960276	0.0276165
á	0.000437432	0.0187114	0.185701	0.458005	0.266342	0.00822614	0.0625765
á	0.00204066	0.0408552	0.0671322	0.254484	0.460505	0.0108403	0.164142
l	0.00213145	0.0239708	0.0389012	0.142256	0.688138	0.0314405	0.0731612
e	0.00332134	0.0183963	0.0543442	0.104646	0.515516	0.064263	0.239513
l	9.86146e-05	0.00213461	0.00834638	0.0731551	0.542293	0.129162	0.24481
a	0.000710497	0.00267933	0.033204	0.0505056	0.34754	0.311679	0.253681
p	0.000493565	0.00170614	0.00216294	0.0226946	0.0974305	0.730097	0.145416
ó	1.09446e-05	7.11814e-05	0.000385291	0.00247221	0.0118306	0.969876	0.015354
a	9.59557e-06	0.000105194	0.00246859	0.00605242	0.0307947	0.915744	0.0448251
</S>	7.02527e-05	0.00258772	0.0133576	0.0308728	0.0576537	0.249875	0.645583
