 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
l	0.407013	0.437674	0.0327426	0.0110365	0.00982728	0.0160629	0.0164551	0.0275362	0.0264645	0.0136948	0.00125113	0.000242519
e	0.484873	0.144428	0.050957	0.0341274	0.0472881	0.0489383	0.0403009	0.0814237	0.0134126	0.0431784	0.00972448	0.00134842
k	0.243315	0.299296	0.126732	0.0512927	0.0288706	0.0279171	0.0366392	0.122935	0.0147201	0.0193672	0.0186378	0.010277
ú	0.107825	0.287607	0.0844762	0.0191931	0.0286918	0.0336343	0.0674695	0.105958	0.0582962	0.0538962	0.0952701	0.0576832
m	0.0303933	0.0910987	0.148545	0.0815186	0.0902008	0.0682785	0.0643682	0.0849364	0.0125134	0.00117621	0.149236	0.177735
a	0.285292	0.176356	0.164285	0.0616767	0.059176	0.0902382	0.0455917	0.0769886	0.0241711	0.00113013	0.00097758	0.0141167
a	0.0698489	0.0205093	0.358567	0.301244	0.0729881	0.0429245	0.0266099	0.0205511	0.0294299	0.00741019	0.00514043	0.0447769
a	0.015327	0.0907685	0.35216	0.259567	0.0732323	0.0252175	0.0201877	0.0123011	0.0173183	0.0181003	0.0392052	0.0766155
t	0.00278454	0.0103917	0.161206	0.192402	0.125896	0.0687325	0.0509721	0.0346824	0.0447761	0.0338495	0.100231	0.174076
ú	0.00266732	0.0274356	0.225837	0.322074	0.18165	0.0569149	0.0379209	0.0345071	0.0126211	0.00494876	0.0352639	0.0581586
e	0.00679938	0.00948934	0.092521	0.208887	0.271589	0.104207	0.0656869	0.0726207	0.0202358	0.00588328	0.0314211	0.110659
m	0.00470459	0.00085915	0.0861657	0.113429	0.224833	0.197158	0.153087	0.100454	0.0867771	0.00554849	0.00688069	0.020103
ó	0.00178151	0.00042827	0.032195	0.0424386	0.212452	0.343955	0.185857	0.0812708	0.05663	0.00246805	0.0107532	0.0297708
y	0.00401892	0.000656538	0.0352892	0.0416231	0.10146	0.189592	0.210535	0.222084	0.121479	0.00969894	0.0498389	0.0137245
έ	0.00093209	0.000106339	0.0207362	0.0933106	0.211216	0.210762	0.195491	0.152292	0.039418	0.00339055	0.0373078	0.0350374
έ	0.000941964	0.000100562	0.014165	0.0249755	0.0923981	0.144771	0.179419	0.217773	0.108629	0.0207762	0.0296818	0.166369
s	0.000361632	0.000325007	0.0110115	0.0231557	0.0879722	0.143075	0.204065	0.123548	0.20475	0.0413515	0.10994	0.0504447
ε	0.000257456	8.23866e-05	0.00564481	0.00903566	0.085179	0.129983	0.219142	0.116242	0.0781101	0.0172825	0.142117	0.196923
r	0.000101653	4.68021e-05	0.00367878	0.0137288	0.0783676	0.14933	0.237117	0.248537	0.101493	0.0123751	0.0882822	0.0669424
έ	0.000253515	0.000186408	0.00560681	0.0364238	0.147035	0.155727	0.213365	0.313914	0.0638552	0.0149651	0.0317101	0.0169584
b	0.00044954	0.000213092	0.0120529	0.0249658	0.0507638	0.0988191	0.165448	0.251372	0.200367	0.0554602	0.0651619	0.0749278
á	0.0111745	0.0104699	0.00563787	0.00607854	0.0249592	0.0579751	0.137461	0.116185	0.397337	0.135424	0.0765601	0.0207376
a	0.00460896	0.00617526	0.00519057	0.00203467	0.00881627	0.0281253	0.082127	0.0928355	0.208965	0.46787	0.0715251	0.0217268
l	0.000563801	0.000729974	0.00661437	0.00327142	0.00934482	0.0195182	0.038122	0.0517474	0.169627	0.205707	0.277746	0.217009
a	0.0010994	0.000551073	0.0120771	0.00695076	0.0235752	0.0362894	0.0744857	0.0630437	0.0461954	0.19068	0.369641	0.175411
b	0.00079896	0.000459754	0.00589377	0.00326316	0.00941199	0.0294169	0.0884318	0.120482	0.088407	0.401512	0.145537	0.106387
í	0.00157295	0.00207447	0.00215357	0.00113768	0.00822124	0.0160251	0.0446146	0.0234663	0.0836057	0.702288	0.111051	0.00379003
n	0.00130142	0.00253612	0.00112894	0.000342244	0.00332771	0.0133044	0.0460256	0.0373332	0.0678952	0.806045	0.0152373	0.00552312
í	0.00640885	0.0057145	0.00236717	0.00158862	0.00947882	0.0145904	0.0355632	0.05143	0.0326027	0.795825	0.0247973	0.0196331
</S>	9.96802e-05	0.000450532	0.00349408	0.00568591	0.00893899	0.0108659	0.0194187	0.0416833	0.0579719	0.145663	0.308778	0.39695
