 	maman	pétrit	le	manioc	</S>
n	0.771287	0.121427	0.0832045	0.0184721	0.00560951
g	0.981183	0.0106038	0.00772055	4.61721e-05	0.000446947
o	0.981538	0.00626983	0.00870618	0.000207972	0.00327796
o	0.916224	0.0451906	0.0305029	0.00227596	0.00580611
l	0.266537	0.519637	0.146017	0.0248843	0.0429252
á	0.398727	0.125512	0.073404	0.00571737	0.39664
a	0.337428	0.227279	0.338393	0.0509846	0.0459152
s	0.0217532	0.698974	0.13633	0.115529	0.0274145
i	0.00279494	0.761355	0.1895	0.0210945	0.0252554
á	0.00317248	0.344976	0.313022	0.0211792	0.31765
i	0.00785001	0.127605	0.400848	0.33072	0.132977
k	0.00373478	0.076483	0.0825223	0.706983	0.130277
ώ	2.21165e-05	0.0076272	0.00824475	0.97406	0.0100455
ώ	0.000148449	0.0212486	0.0473941	0.866876	0.0643333
</S>	0.000262764	0.0426351	0.251659	0.0678685	0.637575
