 	il	a	assemblé	les	travailleurs	</S>
w	0.89971	0.0650385	0.0145437	0.0192355	0.00113725	0.000335065
a	0.893116	0.0348703	0.013342	0.0578706	0.000524941	0.000276307
a	0.144103	0.682887	0.127235	0.0272445	0.0040026	0.0145277
t	0.038962	0.339859	0.507938	0.0775092	0.0159525	0.0197793
έ	0.00927226	0.210052	0.460195	0.0494185	0.0464835	0.224578
n	0.0340311	0.212499	0.547728	0.0982699	0.0335604	0.0739119
í	0.13869	0.160326	0.508911	0.163229	0.0062546	0.0225897
s	0.0739167	0.0616749	0.0840125	0.75827	0.0118891	0.0102369
í	0.0179609	0.0715552	0.402573	0.253331	0.189226	0.065354
a	0.0719946	0.0375918	0.0220231	0.728897	0.0617485	0.077745
s	0.000254361	0.00203952	0.0134157	0.0247195	0.949549	0.0100223
á	8.82122e-06	0.000589486	0.00125084	0.00472315	0.984629	0.00879837
l	9.76392e-05	0.000693152	0.00215236	0.0142416	0.816685	0.16613
i	0.00195557	0.0081325	0.08335	0.211074	0.281728	0.41376
</S>	0.00144778	0.00489344	0.0095339	0.129001	0.056478	0.798646
