 	il	est	brimé	par	son	chef	</S>
o	0.22454	0.132156	0.390866	0.152662	0.0687166	0.0219506	0.00910902
k	0.00878276	0.0172022	0.214842	0.0571906	0.029267	0.651349	0.0213659
o	0.00229316	0.00503086	0.0561344	0.0270327	0.00933747	0.89007	0.0101014
n	0.000765118	0.0237768	0.284341	0.12617	0.02601	0.528865	0.010072
d	0.0741589	0.0707311	0.19648	0.0350186	0.017893	0.54687	0.0588481
z	0.158393	0.188408	0.228098	0.0949954	0.0368292	0.175146	0.118131
i	0.18092	0.113129	0.371651	0.117023	0.0314984	0.0740369	0.111742
a	0.0855395	0.1257	0.0571624	0.294263	0.329668	0.00687186	0.100796
k	0.00587918	0.019447	0.0167118	0.0857584	0.330878	0.266819	0.274507
y	0.010555	0.075298	0.0788438	0.200478	0.239132	0.242613	0.15308
ε	0.0886205	0.111023	0.0437471	0.0564745	0.250974	0.257257	0.191905
l	0.00513342	0.0287466	0.0186033	0.0936888	0.114372	0.0271397	0.712316
i	0.00786957	0.0123576	0.0109573	0.0453666	0.312449	0.0713811	0.539619
i	0.0428915	0.0459061	0.0104878	0.0343331	0.33576	0.0165506	0.514071
w	0.021364	0.0283345	0.00806395	0.0264472	0.141928	0.0880785	0.685784
a	0.0558373	0.132198	0.0808938	0.100135	0.280978	0.026805	0.323152
</S>	0.0320186	0.0330989	0.0105994	0.0449475	0.236328	0.0192106	0.623797
