 	il	a	l'	air	malade	</S>
w	0.780301	0.151928	0.0440341	0.0180383	0.00538192	0.000317143
a	0.850051	0.104565	0.0273912	0.0104589	0.00667615	0.000857357
p	0.18516	0.447565	0.279589	0.049223	0.00479019	0.0336725
ώ	0.0947243	0.257705	0.112247	0.361136	0.0321793	0.142008
ω	0.0820739	0.181168	0.428556	0.175808	0.0114694	0.120924
m	0.0995901	0.202387	0.447073	0.217246	0.0142234	0.0194808
b	0.110295	0.16629	0.231839	0.208391	0.0123818	0.270802
í	0.0677695	0.196785	0.230518	0.125252	0.0257297	0.353947
a	0.196613	0.155079	0.334158	0.122839	0.0514362	0.139874
d	0.0439957	0.112535	0.346544	0.299382	0.0526314	0.144911
í	0.00238625	0.0111864	0.0547563	0.105104	0.0147808	0.811786
l	0.0149437	0.0272837	0.278608	0.12464	0.0901758	0.464349
a	0.00295693	0.0112533	0.077975	0.0913638	0.0581367	0.758314
n	0.0054739	0.0100034	0.0792128	0.0855533	0.469584	0.350173
g	0.00257204	0.0128052	0.0738238	0.0459297	0.188933	0.675936
a	0.0023417	0.011519	0.111651	0.0835805	0.258212	0.532696
a	0.000203589	0.00147607	0.0295008	0.0316753	0.0456953	0.891449
</S>	0.00427738	0.0138657	0.0919776	0.0608288	0.149391	0.67966
