 	il	est	très	brun	</S>
w	0.904075	0.0752741	0.0131715	0.00722432	0.000255582
a	0.822899	0.0412834	0.0212747	0.114148	0.000395079
a	0.210933	0.648567	0.107495	0.00253658	0.0304678
d	0.111613	0.552422	0.23382	0.0191235	0.0830215
í	0.0446451	0.487237	0.173193	0.000932851	0.293991
o	0.021273	0.146569	0.210976	0.0670605	0.554122
b	0.00403331	0.146302	0.381168	0.349599	0.118899
ε	0.02023	0.212155	0.181332	0.428487	0.157796
n	0.00359403	0.0687494	0.141799	0.4821	0.303757
g	0.200157	0.213823	0.31113	0.0820485	0.192842
έ	0.167148	0.0238136	0.0357594	0.67932	0.0939585
b	0.00478412	0.0114162	0.184695	0.568147	0.230958
ε	0.0198167	0.0188163	0.106103	0.69867	0.156594
n	0.000528062	0.000943787	0.005735	0.963226	0.0295676
g	0.00987091	0.0346933	0.265113	0.409249	0.281074
ε	0.0114235	0.00805302	0.0463333	0.813469	0.120721
</S>	0.00299458	0.0115142	0.22279	0.0479482	0.714753
