 	ce	palmier	à	huile	produit	de	grosses	noix	</S>
i	0.401043	0.549372	0.0185251	0.0104983	0.00450693	0.00490512	0.00870211	0.00178533	0.000662631
b	0.0948495	0.729598	0.0667272	0.00958711	0.0588915	0.025839	0.0099436	0.000839282	0.00372471
í	0.00848493	0.966955	0.00379888	0.00423208	0.0098552	0.00217177	0.000466507	0.00356635	0.000469116
a	0.0227498	0.753588	0.0532841	0.0280121	0.0149541	0.0137668	0.0234798	0.0424415	0.047724
d	0.505408	0.0918133	0.216036	0.0424289	0.0127239	0.0154727	0.0136839	0.00125839	0.101175
í	0.0591965	0.0139415	0.152035	0.0212178	0.00225238	0.00765314	0.020523	0.00444518	0.718735
í	0.0546083	0.032506	0.349954	0.128275	0.0149632	0.0197139	0.0253845	0.0146128	0.359982
d	0.0301656	0.0185095	0.350634	0.230736	0.18173	0.0561808	0.0397585	0.00474914	0.0875363
í	0.00270731	0.00204578	0.128693	0.121536	0.0462483	0.0783158	0.0502402	0.0101938	0.56002
o	0.00760337	0.00234637	0.0847353	0.154918	0.197628	0.182518	0.0922155	0.0362762	0.241759
b	0.000851916	0.00403713	0.00888784	0.0251915	0.593659	0.237835	0.0545951	0.0133345	0.0616081
v	0.00332461	0.0151886	0.0274569	0.0426233	0.556913	0.155332	0.0527942	0.0216828	0.124684
e	0.000806501	0.00576627	0.0211166	0.0504615	0.433288	0.215567	0.090155	0.0643109	0.118528
m	0.00103709	0.000759402	0.010799	0.0696027	0.0385067	0.231659	0.226631	0.063934	0.357071
b	0.0189723	0.00276008	0.0150141	0.051795	0.0086667	0.0775119	0.256117	0.498331	0.0708309
é	0.0078505	0.00300031	0.0237707	0.109567	0.046449	0.106925	0.260209	0.305014	0.137215
</S>	0.00293582	0.000936511	0.0298711	0.080794	0.0233916	0.109399	0.157952	0.105743	0.488977
