 	regarde	comment	tu	as	froissé	mon	habit	</S>
t	0.737921	0.193285	0.0156063	0.00509753	0.00164903	0.0447853	0.0011687	0.000486907
a	0.835139	0.148908	0.00795908	0.00338206	0.00164015	0.00170279	0.00119017	7.87908e-05
á	0.0837641	0.717495	0.0338999	0.0243004	0.0452027	0.0111074	0.0229571	0.0612738
n	0.113302	0.490334	0.0630192	0.0326074	0.0256788	0.0325832	0.00993486	0.232541
d	0.00515248	0.410101	0.380086	0.0800572	0.0208413	0.0801368	0.000616731	0.0230084
é	0.0508785	0.330533	0.370947	0.113383	0.0816929	0.0359195	0.00826349	0.00838273
n	0.0400056	0.328743	0.215019	0.226279	0.117308	0.0457664	0.0093827	0.0174977
g	0.0240277	0.502731	0.159972	0.0462742	0.0919105	0.0497083	0.0138356	0.111541
é	0.039516	0.433895	0.374092	0.0569611	0.0374002	0.0272891	0.00993191	0.020915
y	0.0136007	0.288022	0.279658	0.319893	0.043371	0.036982	0.00152098	0.0169525
é	0.00533147	0.381205	0.368594	0.146641	0.0401219	0.0397107	0.00206969	0.0163258
é	0.0018617	0.273726	0.329792	0.219167	0.0583066	0.0677313	0.00967754	0.0397384
m	0.0025027	0.0247842	0.0741027	0.337004	0.462188	0.0287528	0.00693967	0.0637257
i	0.000303886	0.00645349	0.0112886	0.0608597	0.562057	0.12606	0.0100604	0.222917
w	0.000114973	0.0008119	0.00223206	0.0132892	0.908268	0.00378273	0.0124738	0.0590272
ú	0.000314727	0.00060825	0.000758405	0.00479444	0.835942	0.00659746	0.05551	0.0954748
n	0.000714886	0.00249058	0.00261376	0.0183973	0.892612	0.00711597	0.0352271	0.0408283
y	0.000904163	0.00556176	0.00740967	0.0120412	0.892166	0.00992722	0.0512335	0.0207568
á	0.000618005	0.0236653	0.0283336	0.0145317	0.635434	0.0643222	0.103137	0.129959
á	0.00100978	0.0108816	0.0653245	0.110189	0.0854501	0.648403	0.0629353	0.0158069
n	0.00017447	0.00688907	0.0143452	0.0305909	0.062794	0.776905	0.0664631	0.041838
ω	5.06779e-05	0.00465576	0.0301796	0.0278076	0.0929715	0.801626	0.0205786	0.0221306
n	0.000132049	0.00427177	0.0158853	0.0430758	0.162328	0.456587	0.213179	0.104541
g	0.000116147	0.00109769	0.0027658	0.00538841	0.263131	0.285311	0.344788	0.097402
á	0.000165552	0.000927868	0.00677246	0.00968237	0.216717	0.195435	0.507862	0.062437
o	4.53422e-05	0.000491	0.000696024	0.00169358	0.0238133	0.173084	0.37002	0.430157
k	2.47428e-05	0.000195921	6.81296e-05	0.000126694	0.0203018	0.0469685	0.870708	0.061606
á	6.89084e-05	9.25341e-05	2.66991e-05	5.37634e-05	0.0183922	0.00550463	0.919465	0.0563964
n	0.000530854	0.000822356	0.000318782	0.000770325	0.0187867	0.055471	0.704101	0.219199
d	9.61992e-05	0.000446077	0.000398744	0.00142213	0.0196414	0.0507001	0.779106	0.14819
á	0.000197754	0.000893407	0.000696855	0.0012517	0.0445493	0.0384455	0.818819	0.0951465
</S>	0.000412442	0.005184	0.00882371	0.0104185	0.0203971	0.370592	0.173654	0.410518
