 	ce	jeune	garçon	a	une	plaie	à	la	tête	</S>
m	0.700698	0.251763	0.031468	0.00235928	0.00281939	0.0061367	0.00245076	0.00207343	0.00013183	0.000100305
w	0.197699	0.787271	0.00759265	0.00255633	0.00234248	0.000570361	0.000740058	0.000853109	8.86998e-06	0.000365866
á	0.206654	0.752985	0.0357088	0.00116417	0.00196521	0.000614618	0.000332892	0.000136201	0.00036954	6.91412e-05
n	0.565798	0.430269	0.0032351	0.000119082	0.000101876	6.56471e-05	4.92196e-05	4.03507e-05	2.43028e-05	0.000297549
a	0.503617	0.115796	0.0422944	0.0679392	0.0351529	0.00350303	0.0192865	0.0115019	0.00442325	0.196485
w	0.942642	0.0148824	0.0119387	0.0107256	0.0034353	0.00193534	0.00273225	0.007107	0.00114157	0.00346009
ó	0.232775	0.0103566	0.130173	0.208743	0.0765734	0.0529539	0.0733604	0.0750262	0.0338571	0.106182
a	0.074775	0.0412146	0.552186	0.215977	0.0228617	0.0204153	0.0159379	0.0167459	0.00214308	0.037743
d	0.042205	0.0163575	0.276887	0.428269	0.146022	0.033246	0.0110903	0.00790174	0.00204225	0.0359798
í	0.0891401	0.00945467	0.0564725	0.48081	0.230562	0.01736	0.0105187	0.00488429	0.0012553	0.0995422
l	0.0610448	0.0100833	0.0905814	0.292662	0.246959	0.107582	0.0346971	0.0160756	0.0050066	0.135308
a	0.00269703	0.000361475	0.0195338	0.416011	0.337134	0.108452	0.0304009	0.00748675	0.00129782	0.0766251
p	0.0327684	0.0050569	0.0379731	0.118299	0.28118	0.382205	0.0866162	0.0191529	0.00822765	0.0285214
ó	0.00932568	0.00332814	0.115205	0.057204	0.264123	0.500812	0.0159534	0.00126021	0.0198998	0.0128887
r	0.00231876	0.000136388	0.0130123	0.0991469	0.192635	0.616061	0.0370943	0.00601616	0.00919982	0.0243791
á	0.0299544	0.000595578	0.015758	0.0900256	0.299289	0.425824	0.0554407	0.00769071	0.00382689	0.0715953
m	0.0271626	0.00486406	0.0134535	0.0791886	0.0646714	0.257092	0.360301	0.11235	0.0332771	0.0476401
í	0.0263334	0.0406293	0.0228632	0.0286926	0.0220599	0.0230113	0.300018	0.0823748	0.28153	0.172488
b	0.00553841	0.000404907	0.00336499	0.00739626	0.0106658	0.0459842	0.270918	0.167518	0.460019	0.0281901
o	0.00137086	0.000153402	0.00143679	0.00141573	0.00358459	0.0217423	0.0876998	0.0508843	0.798782	0.0329307
ó	0.00490014	0.000120422	0.000909535	0.00402	0.0093355	0.0680595	0.137726	0.0790076	0.607722	0.0881988
</S>	0.00523313	7.70668e-05	0.00229262	0.0225955	0.01456	0.0116413	0.128772	0.327179	0.0802146	0.407435
