 	le	chef	traditionnel	voyage	avec	ses	émissaires	</S>
m	0.40446	0.518167	0.0602568	0.00266536	0.00400652	0.00661057	0.00372638	0.000107338
w	0.0778313	0.329245	0.542148	0.0087904	0.0172176	0.00643546	0.0014721	0.0168599
ε	0.00732088	0.152407	0.837042	0.000152495	0.000534597	0.000251216	0.00226854	2.26795e-05
n	0.097451	0.0635925	0.664789	0.0828536	0.065389	0.01406	0.00592993	0.00593527
έ	0.61751	0.197772	0.0723475	0.0170527	0.020997	0.0105435	0.0132556	0.0505216
l	0.247431	0.0342002	0.0520908	0.109425	0.0313093	0.0194813	0.000801103	0.505261
á	0.359112	0.0208187	0.0200819	0.0459645	0.0380272	0.0327933	0.00561592	0.477587
a	0.792672	0.0113303	0.0476997	0.0460392	0.0433601	0.0264316	0.00614291	0.0263244
b	0.0417057	0.0514963	0.058936	0.674244	0.0868993	0.0151331	0.0116004	0.0599854
h	0.0122143	0.00630412	0.0362499	0.744473	0.144205	0.0237593	0.00784221	0.0249519
é	0.00236514	0.00694755	0.0223632	0.829349	0.0987197	0.017802	0.0066155	0.0158381
m	0.00424547	0.00141708	0.0324225	0.746948	0.109447	0.0312271	0.0261926	0.0480999
b	0.0432762	0.000290767	0.0244286	0.296645	0.377952	0.131632	0.0528923	0.0728839
á	0.0225073	0.00140384	0.0344098	0.278377	0.373872	0.110247	0.0596735	0.11951
l	0.0108144	0.00106468	0.00713168	0.0669801	0.360681	0.474082	0.0557985	0.023448
i	0.00367541	0.00048046	0.000537423	0.056605	0.32798	0.332095	0.105875	0.172752
b	0.00515992	0.00154426	0.000906124	0.0140687	0.112028	0.241397	0.580137	0.0447592
a	0.00298608	0.000563796	0.0079527	0.0377529	0.128102	0.136368	0.676443	0.00983098
n	0.000530386	0.000447645	0.00618784	0.0830078	0.153222	0.226305	0.374394	0.155905
i	0.00388115	0.00419924	0.00373647	0.0416741	0.170298	0.219379	0.411213	0.145619
i	0.0113071	0.00448241	0.00265467	0.0372144	0.135397	0.201262	0.107406	0.500276
</S>	0.0374121	0.00285839	0.0034063	0.0572185	0.0756348	0.080075	0.0403269	0.703068
