 	on	se	lave	là-bas	à	l'	entrée	du	village	</S>
i	0.640631	0.280667	0.0160385	0.0127603	0.0146179	0.0108191	0.00401006	0.0199561	0.000375329	0.000123978
p	0.0390674	0.0974679	0.838705	0.00677276	0.00458617	0.00436179	0.00546375	0.000790242	0.000661944	0.00212261
f	0.00224062	0.00926676	0.959508	0.0215289	0.00260759	0.00139225	0.000908457	0.000340173	0.00129818	0.000908814
ú	0.0126186	0.0841979	0.767702	0.0892176	0.0208986	0.0125067	0.003379	0.00417073	0.00151135	0.00379761
b	0.0499813	0.15559	0.693411	0.0323239	0.0100227	0.0173623	0.0134734	0.0116582	0.00286733	0.0133098
h	0.022911	0.0230275	0.760192	0.112599	0.022827	0.0186347	0.00515534	0.00920288	0.000124116	0.0253259
u	0.134121	0.109752	0.485324	0.116824	0.0418671	0.0252541	0.00510307	0.0112185	0.000361371	0.0701748
l	0.0517804	0.290191	0.227065	0.291941	0.0334208	0.019587	0.00493091	0.0225097	0.000760343	0.0578132
u	0.224995	0.237125	0.155092	0.150191	0.0387293	0.0281065	0.0114691	0.0231705	0.00385099	0.12727
í	0.108951	0.151291	0.128264	0.410899	0.0867191	0.0239476	0.0104115	0.00891776	0.00444873	0.0661503
d	0.0317597	0.119014	0.137686	0.366662	0.199145	0.0640728	0.0259071	0.011384	0.00263642	0.0417324
i	0.00867512	0.00978911	0.0411702	0.103576	0.387083	0.151174	0.0482007	0.00961032	0.00139193	0.23933
m	0.0048756	0.010067	0.0687837	0.183996	0.422163	0.216076	0.0187504	0.00991222	0.00564339	0.0597325
ó	0.0081852	0.01807	0.00893336	0.079991	0.365606	0.200845	0.0339683	0.0882192	0.00384174	0.19234
n	0.0124033	0.0165874	0.014012	0.0913792	0.258655	0.174212	0.156063	0.0359654	0.225777	0.014945
ω	0.00156834	0.00141271	0.000573794	0.00395796	0.0436259	0.0553436	0.863346	0.0148968	0.00230535	0.0129699
ω	0.000800552	0.00249009	0.0007321	0.0166804	0.081217	0.125483	0.623312	0.0841043	0.0318652	0.0333159
m	0.0035366	0.00968834	0.0293462	0.0429497	0.109627	0.365224	0.301003	0.0673427	0.0504139	0.0208688
á	0.00214411	0.0165768	0.00909066	0.0141756	0.0477803	0.0849854	0.0311144	0.10191	0.0224333	0.66979
p	0.0082222	0.0166069	0.00722498	0.0207178	0.0516244	0.136686	0.105891	0.120752	0.481869	0.0504055
o	0.000420461	0.00144983	0.00448404	0.00978076	0.00760437	0.0229125	0.0185694	0.0111719	0.899058	0.0245484
o	0.000382845	0.000365904	0.00474848	0.00208769	0.00219372	0.0130702	0.0355882	0.0135086	0.896614	0.0314404
</S>	0.00252129	0.00446203	0.00639149	0.0101286	0.0197394	0.0886699	0.0580307	0.142785	0.0200763	0.647196
