 	ils	sont	partis	il	y	a	trois	jours	</S>
b	0.863202	0.0552872	0.000568497	0.00515173	0.0159037	0.00445145	0.0464529	0.00794317	0.00103966
á	0.92958	0.0236818	0.00737904	0.0162508	0.00388579	0.00537734	0.0122823	0.00126087	0.000302212
a	0.986075	0.00461494	0.00298641	0.00306566	0.000317625	0.00159724	0.000273652	0.000742444	0.00032719
á	0.0349636	0.739582	0.0919271	0.0348915	0.00475642	0.0130284	0.0341119	0.00176163	0.0449776
d	0.000985326	0.0927197	0.833371	0.0464727	0.0061897	0.00682505	0.00479303	0.0015611	0.00708217
z	0.000102646	0.0245193	0.923778	0.0143512	0.00287017	0.00692591	0.00476751	8.31359e-05	0.0226021
w	0.00124142	0.0255778	0.957605	0.00609682	0.00172672	0.00153921	0.00372651	5.41422e-05	0.00243294
e	0.00047063	0.0744845	0.611279	0.141893	0.0840119	0.0247387	0.018575	0.000157262	0.0443891
é	0.00788856	0.096913	0.0118686	0.248315	0.496448	0.0806957	0.0279048	0.00202357	0.0279432
b	0.00541807	0.0595645	0.069402	0.177049	0.289179	0.254993	0.0952161	0.0178258	0.031352
h	0.0043901	0.0152558	0.0264883	0.161053	0.0948477	0.28835	0.0213902	0.294215	0.0940098
í	0.00104306	0.0152918	0.0832314	0.277708	0.0744284	0.140766	0.0243795	0.103861	0.27929
l	0.000371908	0.025519	0.0155592	0.157142	0.229156	0.202976	0.0562032	0.0444712	0.268602
a	0.000589078	0.00836264	0.013068	0.103494	0.204125	0.315025	0.0637421	0.0180256	0.273569
i	0.00492813	0.0101047	0.00385395	0.0227177	0.121632	0.199139	0.320166	0.125015	0.192444
k	0.00226269	0.00428195	0.0109821	0.0106196	0.0111271	0.0731346	0.044306	0.733106	0.11018
ω	1.4895e-05	0.00012866	0.000738393	0.000694138	0.00258803	0.00599747	0.00567449	0.970837	0.0133268
ω	9.69236e-05	0.000228694	0.000292552	0.00165166	0.0125545	0.0360387	0.0106628	0.826882	0.111592
í	3.81822e-05	0.00216509	0.000411684	0.0062887	0.0206382	0.0527118	0.589258	0.0851566	0.243332
s	0.000239658	0.0118126	0.00229779	0.00948475	0.0164925	0.0260897	0.881343	0.0134167	0.0388234
á	1.03029e-05	0.000990767	0.00228929	0.00132298	0.001202	0.00948664	0.929976	0.000569212	0.0541529
r	0.000144702	0.000832171	0.00114425	0.00284983	0.0172128	0.0250834	0.864896	0.0245531	0.0632835
e	0.000147234	0.000271502	0.000244653	0.00311873	0.00901174	0.0373981	0.859584	0.00272417	0.0874997
</S>	0.000450045	0.00158888	0.00106753	0.00290495	0.0140095	0.0572817	0.345812	0.0141172	0.562768
