 	l'	homme	partit	le	fusil	en	bandoulière	</S>
m	0.913939	0.0804232	0.0043118	0.000895713	7.95961e-05	0.000318905	9.6687e-06	2.15747e-05
o	0.974578	0.0209295	0.00173979	0.000953821	0.000273396	0.000767527	8.41608e-05	0.000673272
r	0.612942	0.367947	0.00918984	0.00394988	0.00113323	0.00306939	0.000436443	0.00133244
o	0.857355	0.0590693	0.00618218	0.00587153	0.00712817	0.00194793	0.0239526	0.0384929
a	0.887285	0.06632	0.0093553	0.0040736	0.00199874	0.00143762	0.000839795	0.0286901
t	0.112872	0.0661259	0.426147	0.210682	0.114393	0.0371284	0.0112126	0.0214382
έ	0.000995221	0.0467786	0.679587	0.161813	0.0678284	0.0137155	0.0135306	0.0157515
m	0.0173022	0.169185	0.395029	0.111256	0.0602139	0.039944	0.04289	0.16418
i	0.0224635	0.010899	0.381722	0.325535	0.127871	0.0233119	0.0140556	0.0941427
l	0.0180058	0.00489147	0.177946	0.461017	0.177459	0.0684886	0.0363211	0.0558717
a	0.00178869	0.00248066	0.206815	0.372023	0.20309	0.0994143	0.0386074	0.0757804
ω	0.00379189	0.00552335	0.250518	0.344088	0.214075	0.0594593	0.0235302	0.0990142
t	0.000612408	0.00346537	0.0777196	0.159183	0.518156	0.139113	0.0834514	0.0182986
á	0.000272799	0.00279523	0.13285	0.171065	0.423059	0.0549383	0.174558	0.040462
m	0.00021788	0.00419173	0.242416	0.140797	0.240192	0.0269857	0.226029	0.11917
ó	0.00102939	0.000651688	0.0488265	0.165539	0.264992	0.263066	0.112501	0.143395
e	0.0145677	0.0018426	0.0132615	0.083906	0.118928	0.282797	0.341637	0.143061
t	0.00117154	0.0013102	0.00855769	0.0254512	0.0748492	0.2145	0.571089	0.103071
ú	0.000200319	0.000929077	0.00946977	0.0323796	0.111563	0.0877368	0.720452	0.0372695
s	0.000742337	0.000153851	0.00274048	0.0195544	0.0511794	0.0357579	0.76513	0.124742
u	0.000484135	0.000315194	0.0168542	0.0564376	0.162591	0.0528707	0.596978	0.113469
</S>	0.00066089	0.000275403	0.00695345	0.0327527	0.0858257	0.167415	0.132639	0.573478
