 	les	enfants	s'	amusent	dans	la	cour	</S>
b	0.770459	0.206333	0.00324061	0.0174313	0.0014575	0.000724555	0.000253533	0.000100023
á	0.0919088	0.893857	0.0114533	0.00188773	0.000333161	0.000451909	6.63438e-05	4.1673e-05
n	0.0629189	0.931908	0.00377382	0.000574181	0.000245515	0.000219041	0.000110874	0.000249539
a	0.212931	0.756966	0.0172878	0.00220204	0.00149367	0.000524565	0.000303399	0.00829178
b	0.311105	0.177328	0.359935	0.0651451	0.0418464	0.025789	0.00256745	0.0162839
á	0.0757433	0.0701439	0.682119	0.00905469	0.0779001	0.0606142	0.000376279	0.0240481
a	0.0839976	0.0928137	0.554058	0.134825	0.082047	0.0243148	0.0034449	0.0244994
s	0.00753534	0.00954306	0.0892342	0.722826	0.138378	0.0162157	0.0026248	0.0136424
a	0.00149163	0.000548451	0.00427889	0.964734	0.0244317	0.00190982	0.00070524	0.00190054
n	0.186238	0.0715906	0.325052	0.148168	0.20606	0.0161416	0.00782842	0.0389218
á	0.115383	0.00421314	0.258082	0.313227	0.257121	0.0279636	0.00602002	0.0179898
á	0.0362926	0.00241518	0.171339	0.0567521	0.526853	0.180906	0.0152375	0.0102055
m	0.00753614	0.00321959	0.0338059	0.0234763	0.489705	0.377032	0.0480229	0.017202
ó	0.00523794	0.00137687	0.0431555	0.00469989	0.150151	0.603147	0.0820501	0.110182
d	0.0127465	0.000532865	0.0107003	0.0114214	0.161604	0.211223	0.54533	0.0464424
z	0.000788504	1.99763e-05	0.000844908	0.0115509	0.108996	0.0813169	0.736589	0.0598941
a	0.000638259	0.000111482	0.00115673	0.00638853	0.0088145	0.0172473	0.950381	0.0152627
n	0.00101512	0.000523898	0.0165901	0.00138166	0.163304	0.121564	0.44434	0.251282
g	0.00338635	0.00119953	0.0137634	0.00718144	0.205279	0.176401	0.342542	0.250248
é	0.00231031	0.00189556	0.015993	0.00091032	0.0387419	0.0701818	0.361865	0.508102
</S>	0.00237925	0.000203651	0.0216979	0.000318394	0.148311	0.204058	0.113633	0.5094
