 	ils	se	sont	soûlés	</S>
b	0.959217	0.0370039	0.00328418	8.64782e-05	0.000408009
á	0.971482	0.0261189	0.00210417	5.51092e-05	0.000239713
a	0.973335	0.0251279	0.00107709	0.000364816	9.47442e-05
á	0.224933	0.484232	0.270528	0.00213563	0.0181708
m	0.00171563	0.149012	0.72864	0.106316	0.0143168
i	0.00179026	0.162776	0.538082	0.229591	0.0677608
l	0.000215344	0.0366769	0.300525	0.608858	0.0537244
á	3.30096e-05	0.0214669	0.10103	0.843267	0.0342028
n	0.00247743	0.181104	0.313099	0.463964	0.0393551
g	0.0653075	0.250791	0.141514	0.402458	0.139929
á	0.500396	0.0529813	0.0188083	0.35323	0.0745849
a	0.055574	0.0837543	0.172133	0.2632	0.425339
l	0.000556956	0.0138728	0.101638	0.726342	0.157591
ω	0.000225401	0.0188441	0.0822687	0.751024	0.147638
i	9.52062e-05	0.00467279	0.0409187	0.753398	0.200916
</S>	0.00270184	0.0257832	0.199372	0.164677	0.607466
