 	les	militaires	ont	affronté	une	bande	de	voleurs	ce	matin	</S>
a	0.967332	0.0181574	0.00222073	0.000634282	0.000599167	0.00036135	0.00612583	0.00369127	0.000611899	0.000234572	3.12722e-05
m	0.0336464	0.958376	0.00404551	0.00122471	0.000209653	0.000887686	0.000170305	9.26192e-05	0.000143535	0.00111964	8.384e-05
b	0.0966203	0.698567	0.0499685	0.0451835	0.00301124	0.000776801	0.00129886	0.00356079	0.00206088	0.000645802	0.0983065
ω	0.00268101	0.995151	0.000290869	0.000641317	4.84157e-05	5.04951e-05	0.000153229	0.000539266	7.34341e-05	5.09632e-05	0.000319978
r	0.0207791	0.941072	0.0166053	0.00955133	0.000879444	0.000424165	0.00126264	0.00103866	0.00144435	0.000141007	0.00680221
i	0.056722	0.714723	0.0197945	0.0236584	0.00748846	0.016428	0.00270675	0.000758668	0.00439477	0.00775975	0.145566
á	0.0838766	0.0031873	0.863125	0.0141434	0.00939622	0.000757911	0.0013925	0.00330472	0.00538605	0.00107961	0.0143507
k	0.00416865	0.00101343	0.19766	0.572032	0.129409	0.0464479	0.000842205	0.00192222	0.0132009	0.00616917	0.0271339
á	0.000640375	0.00128062	0.0176579	0.861089	0.0661844	0.039411	0.000878147	0.000509742	0.00476863	0.0016896	0.00589023
n	0.0022985	0.00019805	0.013892	0.752114	0.0787128	0.135256	0.00122812	0.000995376	0.00517302	0.00366677	0.00646527
d	0.0271971	0.000544586	0.0393615	0.650526	0.149237	0.0718326	0.0119268	0.00281514	0.0160303	0.00818357	0.0223456
i	0.0321447	0.00389049	0.109425	0.514722	0.122083	0.0858704	0.0227639	0.00202834	0.0289593	0.0110748	0.0670375
m	0.0113004	0.000213385	0.0180726	0.013609	0.242354	0.137705	0.397271	0.0237923	0.109719	0.0132894	0.0326732
í	0.0209264	0.000326105	0.00100212	0.000757182	0.00878617	0.0054583	0.184309	0.696831	0.0378994	0.00370254	0.0400014
b	0.00948592	0.00194049	0.00259401	0.00284906	0.0245662	0.0374322	0.334393	0.375297	0.0595612	0.102421	0.0494603
h	0.00985022	0.00729873	0.000828844	0.00277795	0.0304739	0.0790998	0.366793	0.331719	0.0431876	0.0617236	0.0662467
i	0.000880668	0.0166909	0.00136872	0.039608	0.0618384	0.155085	0.160338	0.242452	0.0626585	0.0494381	0.209641
s	0.000219345	0.000179776	0.000925116	0.00872274	0.0687763	0.162002	0.320691	0.172274	0.15417	0.0314649	0.0805745
ó	0.00210127	0.000585578	0.000309294	0.0051068	0.0261583	0.159719	0.206334	0.0139865	0.0909692	0.20007	0.29466
y	0.00223898	0.000379085	0.00304724	0.00156366	0.0148108	0.0257381	0.197772	0.0479817	0.18783	0.270344	0.248295
ó	0.00848693	0.000436665	0.0026099	0.00460528	0.0193692	0.0383457	0.171463	0.0145205	0.147112	0.516334	0.076717
l	0.00274984	0.000467851	0.00111314	0.000321689	0.00305001	0.00849908	0.124736	0.00959918	0.0623404	0.698578	0.0885449
o	0.00171957	0.000976534	0.00179338	0.00256653	0.0113915	0.0225345	0.0609115	0.0163209	0.151989	0.374171	0.355625
b	0.000284403	0.000110313	0.000212231	0.000208216	0.00419875	0.015377	0.0906664	0.00629874	0.0713305	0.632244	0.179069
h	0.000527268	0.000407296	0.000726833	0.000475401	0.0143491	0.0327611	0.111027	0.0246184	0.170866	0.540724	0.103518
á	0.000512285	0.000981716	7.10452e-05	0.00204488	0.00266047	0.0212644	0.0275797	0.0421252	0.0254166	0.370556	0.506787
</S>	0.00346574	0.000276861	0.00201685	0.00115287	0.00791463	0.00459765	0.0673834	0.0837901	0.243765	0.0645279	0.521109
