 	il	agrandit	le	trou	</S>
w	0.973609	0.0187577	0.00704239	0.00051066	7.99877e-05
a	0.719232	0.00926047	0.257462	0.00866411	0.00538068
l	0.616199	0.279392	0.0692647	0.00808525	0.0270585
á	0.271895	0.0256348	0.200345	0.0407161	0.461409
a	0.539367	0.0336847	0.173818	0.0606054	0.192525
n	0.17592	0.596148	0.110793	0.0700168	0.0471215
y	0.13629	0.814741	0.0275593	0.00477811	0.0166317
ε	0.0434276	0.918659	0.0286544	0.000833938	0.00842524
n	0.0339482	0.731202	0.130356	0.0122367	0.0922576
g	0.0653854	0.855886	0.0614958	0.000513361	0.01672
έ	0.455039	0.490925	0.0382061	0.00133162	0.0144982
s	0.028467	0.203599	0.681127	0.0577511	0.0290567
έ	0.02354	0.014447	0.769031	0.0679219	0.12506
i	0.0174939	0.0111555	0.502812	0.434408	0.0341304
b	0.00166728	0.00644219	0.0307091	0.946675	0.0145063
h	0.00251737	4.39368e-05	0.0145127	0.971986	0.0109402
ó	0.00387093	0.00032885	0.028822	0.868868	0.0981098
l	0.00188484	0.00924628	0.148231	0.36573	0.474908
á	0.00204937	0.00763243	0.0931097	0.223932	0.673276
</S>	0.00653953	0.00262315	0.220407	0.127866	0.642565
