 	arrête	de	te	plaindre	apporte	plutôt	des	arguments	</S>
t	0.444779	0.111541	0.0809436	0.353058	0.00897358	0.000227137	0.000383381	7.26848e-05	2.12932e-05
έ	0.583447	0.0758664	0.0849829	0.23037	0.019665	0.000571511	0.00309813	0.000852243	0.0011473
έ	0.0698721	0.168089	0.255267	0.409177	0.0417491	0.00263823	0.0117967	0.00386652	0.0375438
s	0.0255588	0.176588	0.295585	0.241736	0.20393	0.00213774	0.00188048	0.000495469	0.0520888
έ	0.00678951	0.15656	0.160179	0.398479	0.136563	0.00266833	0.00923113	0.00172661	0.127803
e	0.0092778	0.0877487	0.341777	0.327592	0.173444	0.00937876	0.0103989	0.00217092	0.038212
k	0.00393197	0.00725291	0.02944	0.013977	0.190478	0.527525	0.128063	0.0170277	0.0823046
a	0.000714015	0.000499011	0.00806884	0.00247438	0.124983	0.737577	0.0904517	0.0262286	0.00900389
y	0.00142055	0.00124687	0.0225045	0.0240674	0.098238	0.394073	0.376711	0.0666678	0.015071
a	0.00400227	0.00421596	0.050987	0.0262572	0.0298104	0.451031	0.24466	0.0432546	0.145782
k	0.00144511	0.0249034	0.0936248	0.116218	0.0540581	0.140544	0.316217	0.11195	0.14104
a	0.000397363	0.000210085	0.0007624	0.000438245	0.00215056	0.154554	0.0385075	0.794619	0.0083609
n	0.00127026	0.000903822	0.00701556	0.00844611	0.0458822	0.157072	0.10416	0.611242	0.0640078
á	0.00206703	0.00113516	0.00403263	0.000922404	0.00236239	0.125502	0.222224	0.504267	0.137488
k	0.00605806	0.00953552	0.017074	0.00583127	0.00232256	0.00770494	0.150633	0.16617	0.63467
i	0.00258781	0.00118029	0.0012004	0.000549618	0.00117501	0.0403314	0.0469801	0.867365	0.0386306
á	0.00389942	0.00113231	0.00321752	0.00259155	0.000954818	0.0261825	0.0628283	0.408039	0.491155
</S>	0.0014351	0.00972999	0.014706	0.00461514	0.00781033	0.00296381	0.0331195	0.136484	0.789136
