 	si	tu	oses	insulter	ma	mère	je	vais	te	taper	</S>
w	0.765582	0.115086	0.0239282	0.0462956	0.0343962	0.00718069	0.0056977	0.000234858	0.000765772	0.000732654	0.000100197
á	0.707132	0.134714	0.0912744	0.0236346	0.0367653	4.44626e-05	0.00205513	0.000213729	0.00195809	0.0021486	5.93128e-05
á	0.394028	0.197065	0.134748	0.148162	0.0220551	0.00187282	0.0635176	0.018148	0.0114859	0.00171898	0.00719886
n	0.238665	0.294754	0.109988	0.0368825	0.0279497	0.02167	0.109637	0.0277267	0.0394626	0.0101714	0.0830936
ω	0.0512846	0.432482	0.0107511	0.0130174	0.245022	0.0455427	0.131225	0.00703744	0.0305091	0.000916454	0.0322112
o	0.0333587	0.536812	0.043245	0.0337579	0.0347013	0.054867	0.129589	0.0387104	0.0429063	0.000633571	0.0514192
f	0.059873	0.223167	0.674799	0.0137843	0.000185775	0.000605256	0.00228038	0.0166978	0.00449716	0.00118351	0.00292603
u	0.0438352	0.0884328	0.773858	0.0345427	0.000578584	0.000508323	0.00341401	0.0256446	0.0144651	0.00638659	0.00833342
s	0.0561237	0.121273	0.635324	0.126211	0.00418092	0.000163644	0.0033693	0.0131154	0.0136875	0.00162847	0.0249225
u	0.0533635	0.0501827	0.828186	0.041453	0.00576024	2.80237e-05	0.00112447	0.00190957	0.00431306	0.00819556	0.00548432
o	0.0333636	0.0901322	0.272563	0.449207	0.0747217	0.0152141	0.0408327	0.00439025	0.00502659	0.00125598	0.0132929
t	0.0160394	0.136659	0.275508	0.444175	0.0101615	0.0181984	0.0240992	0.0509118	0.0115693	0.00190915	0.0107688
ú	0.0105457	0.0389446	0.540233	0.310254	0.0031964	0.00363589	0.00600676	0.0266354	0.0167428	0.0187546	0.0250507
á	0.00934788	0.0135726	0.516088	0.276659	0.00577456	0.00295629	0.0035672	0.0309721	0.0293522	0.00682186	0.104888
n	0.0108448	0.0378824	0.0814904	0.105912	0.335064	0.0729502	0.263321	0.0426186	0.0163146	0.00328488	0.0303179
g	0.0034918	0.0635048	0.0174105	0.0541298	0.502626	0.136253	0.0872593	0.0192538	0.0547586	0.00239605	0.0589157
ó	0.000194462	0.00788732	0.00180675	0.0207835	0.194815	0.747969	0.0143108	0.00477817	0.00394132	0.000643183	0.00287087
o	0.000199076	0.00817221	0.00284213	0.0830614	0.0951289	0.668201	0.0744061	0.0227763	0.0314105	0.00354218	0.0102607
y	0.00282354	0.00901953	0.0105309	0.0398992	0.317993	0.0729265	0.476393	0.0400583	0.0193055	0.00635684	0.00469401
a	0.0102903	0.0104478	0.00589537	0.0287627	0.425216	0.167853	0.247261	0.0733813	0.0141009	0.00216991	0.0146224
n	0.00127542	0.00432758	0.0093471	0.0304563	0.648604	0.0546776	0.182945	0.0408614	0.0174088	0.0017789	0.00831757
g	0.000266189	0.00963496	0.00530321	0.00555553	0.280549	0.165484	0.245858	0.164767	0.0983687	0.00321722	0.0209961
á	0.000108135	0.0026441	0.000964065	0.0182286	0.161461	0.398785	0.184499	0.119666	0.0815218	0.00632499	0.0257981
n	0.000595744	0.00229858	0.00236892	0.00709711	0.0603407	0.0310548	0.525739	0.164143	0.138242	0.0227421	0.0453781
g	0.00123531	0.0134639	0.00355655	0.00361003	0.0654817	0.0212464	0.398951	0.19047	0.194359	0.00360449	0.104021
á	9.19519e-05	0.00219724	0.000742791	0.0129878	0.0858007	0.166697	0.227471	0.244321	0.201755	0.017717	0.040218
l	0.000494257	0.00145737	0.00119093	0.00456788	0.0256593	0.0194886	0.293458	0.176006	0.277295	0.0457373	0.154646
í	0.000360392	0.00239615	0.00173281	0.00271413	0.010449	0.0110566	0.204953	0.211935	0.245379	0.0248658	0.284157
i	0.000169332	0.000845248	0.00250412	0.00594209	0.017664	0.00902329	0.13181	0.172606	0.284953	0.151094	0.223388
b	0.00253695	0.00478787	0.0200648	0.000319321	0.000457166	0.000436684	0.0243894	0.332358	0.256694	0.249109	0.108848
έ	0.000979101	0.00166058	0.0290569	0.000364754	0.000431606	5.53373e-06	0.0270173	0.20414	0.227255	0.396711	0.112379
r	0.00031464	0.000379752	0.0138608	0.000251001	0.000245353	1.6666e-05	0.00831439	0.164171	0.337512	0.12655	0.348384
έ	0.00186733	0.00218542	0.0208695	0.0176489	0.00519305	0.000356053	0.0247795	0.132304	0.310955	0.0884882	0.395352
n	0.000350348	0.000439851	0.00259058	0.00178663	0.00960148	0.000245377	0.0345997	0.0189956	0.180269	0.344345	0.406776
ω	0.0011562	0.00806714	0.0105399	0.0152832	0.113519	0.00321373	0.113821	0.0329161	0.393567	0.178683	0.129234
</S>	0.000100513	0.000338584	0.00056665	0.000727153	0.0069876	0.0026346	0.0976083	0.0415604	0.310437	0.0438544	0.495185
