 	la	cola	est	un	peu	amère	</S>
i	0.38969	0.580626	0.0152726	0.0115038	0.00281826	5.50748e-05	3.39075e-05
b	0.0452505	0.911836	0.0242924	0.0115622	0.00414216	0.00182621	0.00109011
e	0.0233225	0.941354	0.0215404	0.00838	0.00266831	0.00145546	0.00127932
s	0.0432552	0.869065	0.0532473	0.0131264	0.00349751	0.000237457	0.0175708
í	0.147106	0.372944	0.330921	0.0689044	0.0125938	0.00106048	0.0664709
í	0.264103	0.037176	0.516578	0.112726	0.0434332	0.00133548	0.0246483
d	0.127884	0.00266841	0.320175	0.317889	0.143055	0.0157253	0.0726036
í	0.0693843	0.00940442	0.0889941	0.256695	0.170249	0.00527616	0.399996
l	0.0504011	0.00397054	0.122511	0.205578	0.222861	0.0866081	0.30807
a	0.00935116	0.00354717	0.0322526	0.159103	0.25438	0.0652663	0.476099
y	0.0308415	0.00619623	0.013953	0.0506784	0.0997772	0.655381	0.143172
o	0.000429291	0.00122031	0.00112701	0.00792812	0.0283789	0.894305	0.0666109
l	0.000211786	0.000223492	0.00112279	0.00487481	0.0156206	0.828491	0.149455
o	0.000970806	0.000502841	0.00494641	0.0422492	0.0925048	0.617497	0.241328
l	0.0030482	0.000742003	0.0105569	0.0504634	0.149427	0.130853	0.65491
o	0.0176058	0.00582795	0.0158698	0.0465367	0.106458	0.247329	0.560372
</S>	0.0197881	0.0224443	0.00882526	0.0213405	0.057676	0.423366	0.446559
