 	je	me	suis	servi	de	ta	pirogue	pour	traverser	la	rivière	</S>
n	0.651025	0.0369046	0.0313923	0.0302062	0.0401355	0.0389495	0.140681	0.0193294	0.00858566	0.00202257	0.000657395	0.000110613
g	0.720445	0.205399	0.0255574	0.0417994	0.00130253	0.00463978	0.000440273	8.73166e-05	0.000201041	8.94937e-05	3.49673e-05	4.29275e-06
á	0.530372	0.144232	0.0767809	0.235038	0.0021083	0.006245	0.00108181	0.000751134	0.00252554	0.00027709	0.000564843	2.29016e-05
í	0.049362	0.105302	0.522163	0.0257561	0.069301	0.0641286	0.0133285	0.0224089	0.0141409	0.0354927	0.0343659	0.0442497
s	0.0175272	0.0225996	0.208265	0.71397	0.00769868	0.00734698	0.00339051	0.00272113	0.00518527	0.00346988	0.00231386	0.00551211
e	0.000825374	0.00656958	0.0547245	0.919384	0.00248225	0.00151902	0.000138176	0.000388526	0.00238326	0.00132994	0.00127031	0.00898522
e	0.00722252	0.00784003	0.106482	0.766015	0.0233298	0.0072457	0.000201162	0.00223119	0.00696429	0.00488139	0.0058659	0.0617211
n	0.00873124	0.11056	0.361521	0.141329	0.218835	0.0907537	0.0166224	0.0113637	0.00738778	0.0148764	0.00638352	0.0116367
g	0.0421411	0.277208	0.200484	0.193716	0.0809109	0.136711	0.00306253	0.00643591	0.0268918	0.00984529	0.00609046	0.0165033
i	0.0660984	0.330124	0.163946	0.280237	0.0658612	0.0769781	0.00256309	0.00119661	0.00479873	0.00182218	0.00112495	0.00525046
m	0.00469444	0.0441137	0.112701	0.00336307	0.515761	0.205791	0.011644	0.0376831	0.0240383	0.0203388	0.00488465	0.0149873
ó	0.00451944	0.0278609	0.0195798	0.000845224	0.123449	0.665738	0.0433721	0.0708652	0.00499443	0.00893503	0.00085135	0.0289892
b	0.00252678	0.0296865	0.0590028	0.00288419	0.296327	0.161989	0.196458	0.155454	0.026528	0.0174719	0.0112532	0.0404183
v	0.000223207	0.000268243	0.00153225	0.000111545	0.0515142	0.0922421	0.748265	0.0758044	0.0195516	0.00316484	0.0033274	0.00399478
á	3.53492e-06	1.61729e-05	0.000210347	6.77354e-05	0.00543	0.0243442	0.959409	0.00522404	0.00393824	0.000397768	0.000303436	0.000656069
r	0.00068907	0.00299221	0.00150633	0.00015534	0.0759734	0.216973	0.58936	0.0471057	0.0342057	0.00567313	0.00358458	0.0217813
e	0.00165521	0.00329191	0.00682907	0.00275784	0.122428	0.504202	0.0436765	0.0429783	0.1224	0.0271364	0.00845705	0.114187
b	0.000222632	0.00214435	0.0198194	0.000464293	0.256978	0.270688	0.0826174	0.209703	0.0739577	0.0428022	0.00818023	0.0324221
á	0.00263533	0.00143899	0.00368241	0.000197705	0.0745873	0.15015	0.14154	0.368432	0.166237	0.0494369	0.00775714	0.0339044
n	0.00495384	0.0250627	0.00627272	0.000237277	0.0825061	0.155708	0.178021	0.261277	0.166432	0.0634163	0.013414	0.0426984
ω	0.00838431	0.0226834	0.00895882	0.00516228	0.0166635	0.592081	0.0208737	0.0601555	0.146229	0.0301159	0.00841987	0.0802728
m	0.00116771	0.00452731	0.00957893	0.00550188	0.0750484	0.13638	0.0377049	0.171238	0.202177	0.0815089	0.0749279	0.200239
í	0.000427406	0.00244455	0.00254772	0.000184046	0.0132123	0.154483	0.0147635	0.216639	0.0450507	0.129405	0.0167897	0.404053
k	4.38442e-05	0.000435917	0.00244115	0.000289727	0.0189895	0.0391029	0.0325467	0.345037	0.162151	0.278796	0.0729761	0.0471895
y	2.25722e-05	3.09003e-05	0.000760358	0.0009652	0.0139275	0.0128894	0.0161596	0.182524	0.538814	0.060196	0.0896057	0.0841057
é	2.43151e-05	5.81783e-05	0.000304136	0.000248811	0.0126043	0.0136994	0.00160527	0.0873522	0.546151	0.0921042	0.101588	0.144261
n	6.40123e-05	0.000140343	0.000599636	0.00017829	0.0188627	0.0152144	0.0183598	0.143683	0.349114	0.159636	0.0565577	0.23759
a	5.04026e-05	0.000102235	0.000201048	6.57178e-05	0.00649926	0.0342007	0.0221005	0.117835	0.495381	0.0607043	0.0427923	0.220067
l	0.000384594	0.000897336	0.00378708	0.000194336	0.0196618	0.040215	0.0110849	0.137344	0.217611	0.334775	0.0545666	0.179479
á	0.000816689	0.000573935	0.00113879	0.000132338	0.0111751	0.0292013	0.00529629	0.0353642	0.0778052	0.218216	0.15599	0.464291
n	0.000579596	0.00414405	0.00500126	0.000218191	0.00658452	0.0189528	0.00426055	0.0425726	0.0409025	0.325386	0.363355	0.188043
d	0.0279068	0.0379275	0.0059587	0.0107108	0.00827814	0.086857	0.00494134	0.0210651	0.0828503	0.160184	0.366673	0.186648
z	0.000212414	0.00174179	0.00190232	0.00292123	0.00189896	0.011129	0.000912124	0.00436795	0.0490368	0.0904357	0.282106	0.553336
á	0.000122635	0.000178176	0.000515272	0.00238527	0.00219916	0.0144161	0.000204791	0.0057222	0.0709901	0.0626479	0.490011	0.350607
l	8.0743e-06	2.32964e-05	9.90231e-05	0.000260686	0.00298402	0.00983565	0.000979834	0.00773377	0.0463625	0.0314051	0.0990406	0.801268
é	4.17445e-05	0.00011638	0.000161775	5.50648e-05	0.00308507	0.013667	0.00402661	0.0277717	0.117285	0.123997	0.331026	0.378766
</S>	7.65936e-05	0.000457064	0.00186399	9.76978e-05	0.00545879	0.00870355	0.00198802	0.028996	0.0271357	0.250048	0.15104	0.524134
