 	nous	n'	avons	pas	cette	race	de	poule	ici	</S>
b	0.519987	0.224311	0.0215607	0.0745042	0.055661	0.0428563	0.0304801	0.0204173	0.00980649	0.000415835
í	0.811831	0.0963983	0.0126137	0.0358361	0.0178089	0.0111927	0.00751385	0.00293417	0.0036149	0.000256718
s	0.935464	0.0264725	0.0157657	0.00383038	0.00401627	0.00696882	0.00325246	0.000313616	0.0016535	0.00226239
í	0.514671	0.155825	0.112605	0.0294322	0.0357843	0.0566107	0.0606733	0.0092835	0.00504961	0.0200649
b	0.0139161	0.0392897	0.0800126	0.017384	0.0145593	0.00668863	0.00893983	0.00550596	0.0157755	0.797929
h	0.012135	0.0938289	0.0753759	0.117309	0.0586486	0.0899497	0.209027	0.0354732	0.0442796	0.263973
á	0.0211599	0.0375256	0.158531	0.0920217	0.0706494	0.018683	0.0947073	0.0307392	0.027477	0.448506
l	0.0222347	0.0896009	0.535844	0.0619467	0.0690398	0.00789623	0.00733597	0.00659332	0.00457846	0.19493
e	0.12405	0.171888	0.211809	0.217779	0.114174	0.0360906	0.0584216	0.00392826	0.00576085	0.056098
d	0.0164192	0.16331	0.172023	0.277463	0.252815	0.0373092	0.0171508	0.00741886	0.00447723	0.0516129
í	0.0117366	0.124039	0.476215	0.168233	0.12151	0.0169409	0.0136378	0.00247897	0.00485003	0.0603583
l	0.0632896	0.12511	0.152532	0.234981	0.257261	0.0692309	0.032161	0.0203702	0.00765693	0.0374075
e	0.00798517	0.080941	0.140655	0.285074	0.241499	0.027067	0.0278718	0.00426629	0.00944986	0.175191
m	0.000913486	0.0219858	0.0415548	0.152996	0.474141	0.184866	0.0202699	0.0105727	0.011244	0.0814565
b	0.0213795	0.0314467	0.0188698	0.0311343	0.193307	0.601638	0.0510888	0.00902818	0.0125222	0.0295851
ó	0.00259747	0.00376345	0.00808801	0.0207094	0.136898	0.709503	0.0911027	0.0109276	0.00227854	0.0141316
r	8.21797e-05	0.00508382	0.0136066	0.0326175	0.161601	0.680824	0.0482076	0.029271	0.0021451	0.0265607
o	0.000217394	0.00207289	0.00467412	0.0407907	0.305515	0.564141	0.0466034	0.00590305	0.00141132	0.0286706
l	0.00068603	0.00556876	0.00603492	0.0550993	0.138619	0.517991	0.24131	0.0213413	0.00199446	0.0113553
á	0.00676253	0.00823185	0.0162999	0.0575703	0.0972691	0.194338	0.311519	0.0484753	0.0308378	0.228697
t	0.0650881	0.0214698	0.0167291	0.0272592	0.0351463	0.0909609	0.308062	0.354033	0.0555395	0.0257121
s	0.00330126	0.00206782	0.00779167	0.0167588	0.0364478	0.0857414	0.0819459	0.618665	0.109464	0.0378166
ó	6.98877e-05	0.000262492	0.00291679	0.00547623	0.0206413	0.067067	0.0549159	0.79628	0.0331084	0.0192621
s	7.80167e-05	0.000475517	0.0038568	0.0160079	0.0449992	0.0626053	0.126956	0.59142	0.0667383	0.0868633
ó	5.8574e-05	0.000679612	0.00287659	0.0150721	0.0468204	0.1835	0.207168	0.31478	0.0801409	0.148905
b	0.000553915	0.00231771	0.00245401	0.00988887	0.0171881	0.0455478	0.425196	0.258591	0.112965	0.125297
á	0.0216557	0.00285165	0.00559582	0.0161621	0.019456	0.0334997	0.162024	0.356332	0.264566	0.117856
k	0.0833624	0.00294988	0.00235111	0.0050646	0.0037622	0.00834242	0.113654	0.17274	0.473384	0.13439
a	0.00243326	0.00051851	0.00209392	0.00679025	0.01072	0.00505371	0.0502441	0.290284	0.46172	0.170143
á	0.000278142	6.73177e-05	0.000418111	0.000649396	0.00148013	0.00154825	0.0265	0.399411	0.34841	0.221238
</S>	0.000780354	0.00344915	0.00193864	0.00307115	0.00207362	0.00175548	0.0383623	0.0208557	0.366727	0.560987
