 	on	a	démi	cet	homme	du	poste	de	chef	de	village	</S>
a	0.866619	0.0872919	0.00925511	0.00644116	0.00177632	0.00386152	0.00551217	0.00340994	0.000840558	0.0142392	0.000697849	5.51684e-05
t	0.123675	0.726548	0.0504755	0.0333078	0.00517252	0.00334101	0.00303598	0.00353224	0.0458796	0.00259927	0.00144083	0.000992543
έ	0.0724205	0.561319	0.076953	0.0664141	0.0267218	0.0511353	0.00920422	0.0080657	0.103606	0.00362016	0.00419118	0.0163487
m	0.152938	0.486811	0.0667932	0.0690666	0.0367394	0.041334	0.0194098	0.0135606	0.0495848	0.0053195	0.00293079	0.0555115
b	0.0495309	0.34036	0.13122	0.317842	0.0391577	0.0292776	0.0125411	0.021588	0.000408425	0.00340506	6.06021e-05	0.0546084
i	0.284711	0.239006	0.0811456	0.0982054	0.0623325	0.0530652	0.0603411	0.0502321	0.00391005	0.028654	0.000691603	0.0377056
s	0.324892	0.11755	0.102617	0.133108	0.159345	0.0575786	0.0391535	0.0165376	0.00113223	0.0238263	0.00235051	0.0219095
i	0.134468	0.216537	0.461839	0.0913178	0.0143875	0.0290196	0.00393599	0.0204593	0.00146217	0.00250746	0.000977839	0.0230881
i	0.184508	0.0457045	0.212509	0.288633	0.102661	0.0910642	0.0226029	0.0234955	0.00104474	0.00820507	0.00238902	0.0171819
b	0.0150071	0.119806	0.364154	0.183844	0.191263	0.0741996	0.0163401	0.00661164	0.0114466	0.00105568	0.00168419	0.0145878
a	0.0180987	0.0521769	0.41888	0.079829	0.245779	0.0513498	0.116919	0.00461849	0.00943274	0.000487989	0.000526	0.0019029
a	0.00661418	0.0227596	0.155265	0.161404	0.454193	0.0840025	0.0838952	0.00416719	0.0142381	0.00079019	0.000206692	0.0124638
d	0.0244192	0.0316346	0.0601458	0.13158	0.285634	0.361475	0.0561563	0.0305488	0.000587449	0.00775751	0.000226842	0.00983463
í	0.0133421	0.0365224	0.546311	0.0934123	0.0198305	0.0704457	0.0155149	0.0241905	0.00245664	0.00383044	9.34233e-05	0.17405
m	0.0086038	0.0116238	0.0471683	0.0763048	0.176522	0.461598	0.111387	0.0698828	0.00432885	0.00866366	0.00080797	0.0231091
ó	0.00419188	0.00830507	0.111955	0.348655	0.135177	0.137688	0.0372401	0.172651	0.00136427	0.0100487	0.000583539	0.0321404
m	0.012238	0.0250667	0.260539	0.202135	0.0874168	0.145429	0.0312514	0.114158	0.0869553	0.00439551	0.0144059	0.0160084
b	0.00213457	0.0105296	0.142472	0.293026	0.0882374	0.0887716	0.0353557	0.193038	0.0361593	0.00535842	0.00263833	0.102279
á	0.000945587	0.00171333	0.246414	0.251195	0.075068	0.0419081	0.168929	0.0570986	0.147575	0.00053651	0.000472721	0.00814446
r	0.000765012	0.00666378	0.0473363	0.021383	0.0987366	0.143384	0.209164	0.319642	0.062776	0.0109851	0.00104819	0.0781169
á	0.00325249	0.00919798	0.0739981	0.049297	0.0198852	0.162403	0.194085	0.283909	0.0964875	0.0293993	0.0052445	0.0728415
y	0.00183733	0.00106236	0.00226008	0.0102944	0.00943664	0.0608294	0.0394876	0.331379	0.0338379	0.441591	0.0229252	0.0450596
ó	0.0110141	0.0194724	0.0287298	0.0456345	0.0288179	0.0882889	0.0107081	0.248619	0.0850493	0.0551467	0.178632	0.199888
k	0.00449171	0.00198529	0.0109417	0.00747674	0.00409718	0.013602	0.00442435	0.0813203	0.398217	0.0285503	0.398789	0.0461041
o	4.24994e-05	0.000108954	0.000156589	4.68801e-05	0.000169558	0.00079016	0.00221172	0.0023729	0.963328	0.00106049	0.0218387	0.00787365
n	7.33325e-05	0.000622405	0.00153652	0.000778263	0.00204153	0.00460605	0.00832086	0.00250061	0.959664	0.00248185	0.0117926	0.00558213
d	0.000218362	0.000992842	0.00196828	0.00449883	0.00516819	0.00869342	0.0020161	0.00887858	0.909263	0.00477106	0.021955	0.0315766
z	0.000149368	0.00036224	0.000428694	0.00350719	0.00315172	0.0127007	0.00339152	0.0083905	0.833615	0.00706825	0.0685956	0.0586396
i	6.51739e-05	7.80578e-05	0.000311618	0.00300413	0.0032587	0.0101157	0.0030915	0.00569286	0.778627	0.0136593	0.107484	0.074612
á	0.00594665	0.00264578	0.00374819	0.00691228	0.00787484	0.0220289	0.0171539	0.0980356	0.0976126	0.276881	0.0642565	0.396904
p	0.0143534	0.0188554	0.0097413	0.00357799	0.00822435	0.0281841	0.0497573	0.133509	0.0158154	0.294841	0.102903	0.320237
o	0.00022768	0.00102075	0.000893939	0.000330875	0.00155932	0.00497969	0.00373897	0.00931225	0.0480161	0.0100932	0.763482	0.156345
o	0.000201564	0.000213013	0.000305031	0.000295719	0.000589001	0.00401607	0.000723694	0.00539957	0.0710971	0.0221753	0.732546	0.162438
</S>	0.00716328	0.00848958	0.0123041	0.00380204	0.00787457	0.0309433	0.0251913	0.114526	0.00697612	0.252766	0.0891262	0.440838
