 	de	hautes	herbes	ont	bloqué	la	piste	à	l'	entrée	de	la	forêt	</S>
a	0.660924	0.310023	0.0260482	0.000552061	7.18356e-05	0.00138623	0.000185525	0.000328781	0.000144076	5.77159e-05	6.92329e-05	0.000180388	2.44666e-05	4.63157e-06
k	0.0190636	0.877966	0.0963563	0.00126308	0.00187225	0.000754167	0.000211923	0.000186761	0.000244057	0.000191141	0.000267874	0.000519358	0.000936469	0.000167343
i	0.0107464	0.895407	0.0743295	0.000815299	0.00346818	0.00466843	0.00103097	0.00132438	0.000974328	0.000290699	0.000409379	0.000763658	0.00468098	0.00109049
n	0.00851471	0.639132	0.247913	0.0106462	0.0236826	0.0138854	0.0200252	0.00146726	0.000965363	0.000460832	0.00352303	0.00292062	0.00363102	0.0232334
g	0.0922253	0.587118	0.268076	0.00802956	0.00519754	0.00280273	0.000952832	0.0033716	0.00184123	0.00143583	0.00404436	0.0013244	0.00111174	0.0224682
έ	0.160923	0.340713	0.472816	0.012012	0.0016085	0.000897813	0.000143008	0.00097205	0.000571563	0.000624357	0.00167581	0.000497493	0.000182181	0.00636198
á	0.114412	0.00805373	0.560173	0.222818	0.0199386	0.0131323	0.00376588	0.0098045	0.00326573	0.00387528	0.0102573	0.00672992	0.000905882	0.0228679
m	0.00974986	0.00200438	0.0378176	0.758597	0.160197	0.0101851	0.00188579	0.00124365	0.00160686	0.00348678	0.00467728	0.00337592	0.000643098	0.00453004
i	0.00782177	0.000937168	0.0193087	0.454762	0.241961	0.111534	0.00505269	0.0328176	0.0334028	0.030264	0.0222239	0.0167508	0.00201285	0.0211503
d	0.000130147	0.000337762	0.00231926	0.15517	0.82226	0.00810225	0.006477	0.000540248	0.000361654	0.000675741	0.0010529	0.000592776	0.000253137	0.00172748
i	0.000118254	0.000142075	0.000350089	0.158578	0.823819	0.00637429	0.00143641	0.000772004	0.000455315	0.000403422	0.00228049	0.00108794	0.000237444	0.00394522
b	0.000195152	8.41605e-05	0.00118655	0.167299	0.786094	0.0295057	0.00220564	0.00205394	0.000717318	0.000380539	0.0033846	0.00220968	0.00030568	0.00437866
h	0.00609151	0.000958085	0.0308848	0.269357	0.376956	0.16831	0.0648723	0.0256922	0.0103269	0.00865218	0.0135872	0.00758435	0.00453059	0.0121964
á	0.0132447	0.0023653	0.0245391	0.0570639	0.185511	0.186871	0.0213167	0.105531	0.0688047	0.0478335	0.044351	0.0189166	0.0162523	0.2074
k	0.00189789	0.000306831	0.0100993	0.0877725	0.211348	0.441489	0.0958845	0.0580746	0.0396356	0.0144309	0.00884858	0.0129181	0.0079632	0.00933054
ó	0.000480478	0.000368353	0.000800767	0.000350332	0.0216441	0.0144966	0.947384	0.00356652	0.00100864	0.000487227	0.000557902	0.000137516	0.00612217	0.00259569
ó	2.54871e-05	0.000139301	0.00245582	0.00148107	0.0808363	0.0538207	0.824296	0.0097809	0.00459688	0.00302323	0.00423009	0.00198379	0.00740409	0.00592633
m	0.00195323	0.000700534	0.00256195	0.0196158	0.0181751	0.26617	0.0446399	0.295625	0.116571	0.0878537	0.0622076	0.0491457	0.00756168	0.0272179
ó	0.00160657	0.000152619	0.00133439	0.00193359	0.0114509	0.049877	0.022036	0.344299	0.147324	0.0368175	0.0645262	0.0554236	0.0197945	0.243425
k	0.00254807	0.00114187	0.00152101	0.002098	0.00640235	0.0499558	0.0531661	0.178078	0.178943	0.0847258	0.0511588	0.0612657	0.290566	0.0384291
ó	0.000240818	0.000402655	0.000691954	0.000156097	0.00585299	0.0249767	0.427492	0.0271827	0.0297102	0.0136277	0.0355018	0.016753	0.393668	0.0237424
ó	7.50567e-05	0.000239303	0.000334526	0.000285308	0.00961499	0.0103435	0.728418	0.013896	0.0160754	0.0145618	0.0450955	0.0121046	0.121129	0.0278272
l	0.00040422	0.000144076	0.000545027	0.00217512	0.00142486	0.0174543	0.00218271	0.127473	0.0882412	0.0638631	0.275063	0.242091	0.0358525	0.143087
i	0.000827271	0.000129224	0.00100003	0.0036512	0.00619799	0.0200678	0.00643023	0.0502448	0.0737069	0.0724729	0.228582	0.18811	0.0562875	0.292292
m	0.00113987	0.000277263	0.000283503	0.000909384	0.00108173	0.00900107	0.00277202	0.107857	0.123241	0.0813867	0.119518	0.18044	0.208575	0.163518
á	0.00145435	0.00021511	0.000410556	0.00569375	0.00464737	0.0114401	0.000333862	0.181243	0.198375	0.0154583	0.161975	0.233291	0.0474235	0.138039
k	0.00386427	0.000706696	0.000984718	0.00338419	0.000813344	0.0125828	0.0039775	0.11743	0.136831	0.0366259	0.0448207	0.117674	0.428242	0.0920624
ώ	0.000114819	0.000328163	0.000193172	0.000127718	0.00173156	0.00957084	0.0856998	0.0209961	0.0147403	0.00466609	0.0400916	0.0393738	0.714399	0.0679676
</S>	4.76684e-05	1.57349e-05	3.38383e-05	1.00916e-05	0.000353927	0.00205454	0.033136	0.00596702	0.00848414	0.00630858	0.0190695	0.0163212	0.84253	0.0656679
