 	ta	manière	de	faire	traverser	les	enfants	est	épouvantable	</S>
y	0.155641	0.587618	0.174941	0.0465658	0.0231615	0.0059618	9.95114e-05	0.000703062	0.000132747	0.00517567
á	0.0390538	0.00861693	0.0513022	0.156507	0.179775	0.103185	0.0740737	0.0579509	0.31346	0.0160765
n	0.013947	0.00304604	0.026324	0.255333	0.441351	0.133472	0.0517188	0.0137572	0.0586538	0.00239805
ω	0.125509	0.103388	0.182987	0.108407	0.277072	0.131269	0.038968	0.0121481	0.00908371	0.0111679
e	0.0822178	0.0537632	0.118274	0.0834627	0.0986464	0.173168	0.136761	0.0511611	0.0693966	0.13315
l	0.0127012	0.0178538	0.0312215	0.0538145	0.0412243	0.019789	0.00426768	0.053476	0.156334	0.609318
a	0.118628	0.0686114	0.0542139	0.0257097	0.0135132	0.00784489	0.00761262	0.056483	0.138304	0.50908
b	0.084395	0.0772865	0.210545	0.196081	0.0881826	0.171492	0.0558275	0.0583483	0.0310882	0.0267545
h	0.0366466	0.0145501	0.112924	0.304618	0.156421	0.129026	0.0716238	0.0558207	0.0439852	0.0743834
í	0.0229703	0.021282	0.139692	0.273743	0.21934	0.147088	0.0569162	0.0150559	0.00971223	0.0942007
s	0.016881	0.021579	0.209752	0.254103	0.225248	0.142767	0.0822169	0.0182197	0.00742896	0.0218039
í	0.0443089	0.0180314	0.162757	0.240994	0.20682	0.100353	0.0184629	0.0251869	0.0433469	0.139739
y	0.0156702	0.028029	0.270533	0.152921	0.0839692	0.219147	0.0592172	0.129248	0.0109265	0.030339
á	0.336058	0.164239	0.218037	0.0705732	0.0421316	0.0694585	0.0142322	0.025939	0.0401541	0.0191769
b	0.0309102	0.00604235	0.0618068	0.126894	0.166881	0.32442	0.190211	0.0489551	0.0394625	0.0044169
á	0.00306292	0.000296024	0.00744573	0.0322611	0.0212514	0.128836	0.802484	0.00210228	0.00210337	0.000156864
n	0.00178789	0.000302877	0.0167762	0.0365888	0.021158	0.143305	0.712216	0.0160688	0.0386078	0.0131887
a	0.00896217	0.00118002	0.0207732	0.0275991	0.0722747	0.185005	0.549551	0.0329703	0.0144083	0.0872756
y	0.00117427	0.00288705	0.0597258	0.0636936	0.0673553	0.346691	0.0788807	0.321395	0.0329799	0.0252174
é	0.2169	0.136698	0.163647	0.0725492	0.0423737	0.118181	0.0148472	0.160141	0.0499414	0.0247214
é	0.047381	0.0420323	0.0712118	0.0617333	0.0680805	0.143446	0.0536973	0.423157	0.0688053	0.020456
d	0.00526939	0.0167117	0.027195	0.0307382	0.0254843	0.0381743	0.0131425	0.66035	0.140823	0.0421115
í	0.00296789	0.02315	0.0328547	0.0129631	0.00813863	0.0186351	0.00140503	0.461951	0.0710617	0.366872
l	0.0148669	0.0403622	0.0530195	0.0148245	0.0136399	0.0395426	0.00377899	0.400608	0.0835171	0.33584
a	0.00434729	0.00627846	0.00686013	0.0073007	0.00432013	0.0053813	0.00156746	0.180639	0.283134	0.500172
m	0.00799437	0.0121351	0.0086964	0.0070893	0.00553115	0.0180329	0.00404403	0.0672069	0.753352	0.115917
w	0.00096767	0.00419328	0.00308782	0.00128627	0.000312172	0.00175255	0.000569782	0.0153621	0.929855	0.0426135
a	0.000114967	6.30446e-05	8.61372e-05	0.000162351	9.65656e-05	0.00115829	0.0275781	0.0052063	0.929435	0.0360987
</S>	0.00120602	0.00155036	0.00259277	0.00146839	0.00124132	0.00753716	0.00357364	0.0355387	0.287069	0.658223
