 	la	manière	dont	il	a	blessé	mon	fils	relève	d'	une	tentative	de	meurtre	</S>
e	0.300942	0.169214	0.19517	0.0360936	0.0861063	0.105606	0.0205741	0.00231786	0.0134137	0.0138691	0.0172953	0.0246918	0.00101314	0.00171274	0.0119801
k	0.000188538	0.000380566	0.01076	0.00262033	0.11556	0.852926	0.000812128	0.000460336	0.00349466	0.00233624	0.00791693	0.00225232	0.000156746	2.3911e-05	0.000111135
ώ	0.0014566	0.000137101	0.00352636	0.00109251	0.0255387	0.940265	0.000465912	9.87142e-05	0.00417199	0.00455434	0.0128564	0.0049013	0.000189037	0.000147848	0.00059805
s	0.000142044	0.00233382	0.0236811	0.00155935	0.0360849	0.902209	0.00208717	0.000123749	0.0100782	0.00346732	0.00847674	0.00899742	0.000275916	0.000133595	0.000349495
í	0.00239056	0.00619915	0.0160895	0.0183161	0.0492849	0.328698	0.0622698	0.00337365	0.0305398	0.0607935	0.106041	0.142815	0.0148909	0.00698381	0.151315
l	0.071	0.0425536	0.0283055	0.119587	0.362616	0.0790718	0.0603827	0.061196	0.0290219	0.0413739	0.0318903	0.0263418	0.0217588	0.00206111	0.0228398
í	0.0113784	0.0577046	0.0447957	0.0838562	0.150779	0.0495185	0.0665352	0.0846326	0.0380482	0.0613461	0.0267591	0.0113628	0.0334325	0.00938677	0.270464
y	0.154934	0.282043	0.219842	0.0899553	0.0938772	0.0243438	0.0226082	0.0339105	0.0058348	0.0268225	0.0103138	0.0026598	0.00467724	0.00125432	0.0269234
é	0.0554106	0.225941	0.260361	0.0767712	0.148027	0.0357485	0.0302477	0.0292566	0.0104382	0.034494	0.00860734	0.00151243	0.016313	0.00459607	0.062275
é	0.0408709	0.187483	0.242362	0.111391	0.197431	0.0543085	0.0359863	0.0255493	0.0130552	0.0207916	0.0104495	0.00225883	0.00834449	0.00645698	0.0432612
k	0.00576226	0.00143114	0.0349459	0.0493677	0.311314	0.413449	0.0280651	0.0225415	0.0219482	0.0449094	0.0276005	0.0106971	0.00165503	0.00118379	0.0251298
ώ	0.000346622	0.000136673	0.00305874	0.0079756	0.0874414	0.83179	0.00233881	0.00324212	0.0218903	0.0091709	0.00822629	0.0164015	0.00114914	8.98761e-05	0.00674178
s	6.54192e-05	0.000513894	0.0313262	0.00787891	0.0611412	0.821294	0.00694912	0.00243544	0.021131	0.0096736	0.0131068	0.0155682	0.000354896	0.000212057	0.00834905
í	0.00236479	0.0069668	0.179056	0.0265042	0.0681528	0.405598	0.115912	0.00812609	0.034537	0.0610658	0.0345268	0.0132126	0.00783517	0.00569489	0.0304475
l	0.000769183	0.00528337	0.0871987	0.276064	0.0751942	0.0266133	0.198923	0.219442	0.060733	0.0216221	0.00456999	0.00228161	0.00328574	0.000934579	0.0170855
í	0.00307177	0.0035462	0.0592952	0.165541	0.145654	0.0816916	0.173812	0.032074	0.0377852	0.0566986	0.039492	0.0131352	0.0280743	0.0322233	0.127905
w	0.0024227	0.00267014	0.0248533	0.150148	0.0365573	0.00340661	0.264668	0.344584	0.106174	0.0206352	0.00849581	0.00291094	0.0123031	0.0093181	0.0108529
a	0.000607885	0.00153645	0.0126583	0.243142	0.0659263	0.00532144	0.155217	0.279831	0.0844987	0.0450342	0.022676	0.0216235	0.0428593	0.00497384	0.0140932
n	0.000140956	0.000599648	0.00640631	0.07089	0.0189421	0.00517119	0.287931	0.367806	0.143123	0.0463525	0.0152489	0.00813776	0.0174979	0.00201856	0.00973415
g	0.00102908	0.00220404	0.0036492	0.0308524	0.00861153	0.00100404	0.608399	0.146788	0.152674	0.00737213	0.00342722	0.00113719	0.00789017	0.0155014	0.00945994
á	4.46823e-05	0.000169604	0.000915052	0.00829075	0.00409395	0.000305865	0.570586	0.128895	0.272748	0.00363852	0.00284038	0.000546624	0.00054427	0.00589154	0.000489473
