 	il	a	fait	une	brûlure	de	cigarette	</S>
w	0.970512	0.0196223	0.0041632	0.00199232	0.00073905	0.0022291	0.000588128	0.000153833
a	0.75347	0.08563	0.015112	0.0250873	0.0457573	0.0692435	0.00478079	0.000919532
á	0.0402006	0.776467	0.138881	0.023736	0.00499499	0.00651581	0.00341302	0.00579204
m	0.0214479	0.464278	0.413529	0.0605271	0.0125675	0.00755146	0.00342211	0.0166772
i	0.004188	0.135687	0.228641	0.326521	0.205454	0.0427943	0.005938	0.0507755
t	0.00121451	0.0507033	0.543245	0.277375	0.0492776	0.0230652	0.0121799	0.0429398
u	0.000647874	0.021652	0.352975	0.518854	0.0299661	0.0255402	0.0106848	0.0396803
m	0.00023273	0.0216649	0.291962	0.63687	0.0184076	0.0172096	0.00403594	0.00961772
b	0.0414252	0.0211867	0.125801	0.50667	0.0967075	0.103072	0.0203472	0.0847904
á	0.00504554	0.00287943	0.0210355	0.187182	0.145598	0.130208	0.148409	0.359641
i	0.0053151	0.00722043	0.0274366	0.141719	0.150692	0.455656	0.187282	0.0246792
k	0.00107416	0.000514872	0.00572419	0.0245761	0.070794	0.129691	0.733356	0.0342698
έ	0.00032355	0.000579302	0.0104976	0.0228764	0.0140635	0.127591	0.774912	0.0491563
έ	5.87622e-05	0.000122067	0.00394612	0.0155863	0.0188662	0.0808607	0.790989	0.0895711
</S>	0.000428676	0.00104017	0.0109978	0.0349717	0.102912	0.234716	0.303401	0.311533
