 	la	peau	du	silure	électrique	est	très	molle	</S>
e	0.599541	0.231923	0.0419741	0.0269396	0.0450747	0.0428219	0.00929831	0.00193578	0.000492131
k	0.174205	0.687918	0.0215173	0.0358737	0.0172234	0.0169108	0.0204747	0.021639	0.00423776
á	0.0211503	0.899126	0.0226932	0.0191044	0.0046856	0.00374952	0.00827932	0.0189514	0.00226073
r	0.0220347	0.817623	0.0561653	0.0249353	0.00711781	0.00670338	0.00873675	0.00851177	0.0481716
á	0.430023	0.386742	0.0402254	0.043829	0.0193555	0.0225158	0.0182371	0.00172752	0.037345
y	0.431248	0.119411	0.189041	0.064547	0.0393047	0.0971936	0.0310676	0.00436643	0.0238205
á	0.417392	0.0266851	0.100434	0.0745073	0.222764	0.0667163	0.0379716	0.00232297	0.0512077
n	0.174311	0.00438098	0.0688154	0.363086	0.316382	0.04696	0.0215703	0.000427757	0.00406798
i	0.00216779	0.000285074	0.00502085	0.0643233	0.925064	0.00144789	0.000405997	1.05945e-05	0.00127442
n	0.0129063	0.00387249	0.167943	0.275454	0.301654	0.147588	0.0636371	0.00237429	0.0245706
á	0.00846359	0.00267386	0.0779215	0.121375	0.662507	0.0414645	0.0194396	0.000913486	0.0652416
é	0.0189958	0.00593629	0.113063	0.0813337	0.234367	0.407663	0.110651	0.00814422	0.0198462
d	0.0101158	0.00887705	0.0397545	0.00920929	0.131455	0.326967	0.447113	0.0128111	0.0136975
í	0.00994242	0.0182606	0.0463262	0.0212565	0.0313648	0.147225	0.620537	0.0362008	0.0688864
m	0.00323364	0.00354706	0.0791981	0.0397758	0.0327207	0.113198	0.253938	0.0902104	0.384179
i	0.0118997	0.00141438	0.012012	0.00296753	0.0267028	0.241502	0.462222	0.0567764	0.184502
ε	0.0156006	0.00173073	0.070017	0.0357845	0.0418712	0.206569	0.271231	0.140158	0.217037
l	0.0014807	0.00312376	0.00373102	0.000837059	0.00462904	0.0252174	0.319249	0.471404	0.170327
i	0.00322508	0.00961806	0.0177031	0.00214335	0.00384055	0.0258197	0.353259	0.430171	0.15422
m	0.00166385	0.00174579	0.0168222	0.00365262	0.0025628	0.0258566	0.177576	0.360013	0.410107
i	0.00298954	0.00324488	0.0135124	0.000771104	0.00234468	0.0282792	0.24718	0.329886	0.371791
ε	0.00300775	0.00160471	0.0214241	0.00662441	0.00404924	0.0520676	0.192763	0.200776	0.517683
l	0.00152852	0.00245948	0.00879311	0.000859583	0.00129941	0.0322579	0.156397	0.416734	0.379671
i	0.00716937	0.0141851	0.0477057	0.00582715	0.00557013	0.0321119	0.239871	0.385471	0.26209
</S>	0.00264795	0.00199379	0.0258479	0.00510005	0.00406515	0.0384917	0.140432	0.140363	0.641058
